subset,n_failing,n_nonfailing,n_sig_fdr05,n_shared_genes,n_ref_sig_among_shared,n_sig_cohort_among_shared,n_sig_in_both,rho_all_shared,p_rho_all_shared,rho_sig_in_both,p_rho_sig_in_both,concordance_sig_in_both,NPPA_log2FC,NPPA_fdr,NPPB_log2FC,NPPB_fdr
explanted_only,15,6,31,9711,3217,31,18,0.08160203928784676,8.024725021477553e-16,0.8328173374613003,1.7901901423159214e-05,0.7777777777777778,1.1600703775000067,0.4847092730399514,1.3377506696666615,0.567982482721356
pre_LVAD_only,16,6,6343,9711,3217,4809,1630,-0.12573305983650823,1.6235658058515504e-35,-0.20559072721470112,5.1284224305123714e-17,0.4067484662576687,1.789948197145833,0.05361052982118463,2.4873943539999965,0.042270347741509715
