gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
DHX9,-0.09629942473134398,-1.0633367815117585,0.2888289976806709,0.558599899689293,7.324205764733334,194,16,-0.09262160433564466,0.6621004267998766,-0.10091808290260891,0.40645532598924006,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
GNGT1,-0.03317696035372061,-1.0632645889783576,0.2888616502552615,0.558599899689293,3.511508637366664,194,16,-0.018956326377312215,0.7999784292190242,-0.05103543092878653,0.2760253594737406,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZNF79,-0.05775299380284562,-1.0631002088372146,0.2889360084921329,0.5586572808797782,6.257305313171431,194,16,-0.04487062606944009,0.7063521896076159,-0.07393085095639682,0.37297685754690507,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BCAT2,0.06858334657858653,1.0622506346835083,0.28932052493793603,0.5591978542584767,7.177636209119048,194,16,0.0459459485324069,0.7528413351407947,0.09701170691570049,0.32829753671884426,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CA3,0.10898402550064633,1.0622276319103692,0.28933094079504945,0.5591978542584767,4.113837587638098,194,16,0.09790378522916701,0.6037972935082329,0.12289874584156282,0.5229218254877462,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CAP1,-0.12795714381441115,-1.0621860334867692,0.28934977757143543,0.5591978542584767,8.220193789404759,194,16,-0.10087160955555945,0.7316989389651075,-0.1619715356744099,0.2868845164425917,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CEACAM3,0.05501072862109319,1.0618767544941896,0.28948985269307265,0.5593733954501552,6.674229878261909,194,16,0.06762901058332965,0.46345645089263354,0.03916451406395791,0.7236220904570798,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ANG,-0.0566250924252583,-1.061787921236941,0.2895300945415097,0.5593733954501552,6.175840568580952,194,16,-0.06578536986110317,0.5467206271970544,-0.04512148820348366,0.6353558452954057,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
KITLG,-0.03351882945812786,-1.0615917623832152,0.2896189687851801,0.5594208953594544,3.684449397557144,194,16,-0.017553653224530005,0.8115347711308314,-0.05356812054214401,0.2643031727767343,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
PDE6H,0.03550122161855006,1.0615361394613845,0.2896441733851982,0.5594208953594544,3.964157496138096,194,16,0.03568052915740576,0.6129738991529983,0.0352760447092949,0.5323889662682426,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
DHX29,-0.1154779106752772,-1.0608566465341565,0.2899521943521417,0.5599293070420877,5.502421870828571,194,16,-0.1345334697777865,0.5104098068900624,-0.09154767366278391,0.6614363631282303,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
USP20,0.05526752913274401,1.0607495908211597,0.29000074402365916,0.5599365717040597,5.86315513239524,194,16,0.05337842899535932,0.6348434409033613,0.05763988744475436,0.5123292074425863,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
GABRB1,0.09825990829768093,1.060452395947458,0.29013555051896445,0.5601103540129854,4.6256368452190495,194,16,0.10203968747685326,0.6083626844895406,0.09351320886337013,0.5113724189759481,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
GOLPH3L,0.07624378674741647,1.0602809039627739,0.290213357971688,0.5601740622760605,7.08674586682857,194,16,0.07249913182408375,0.6269336653215638,0.0809463766511766,0.5257568032582658,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
