gse,platform,n_signature_symbols,n_measurable_on_platform,frac_measurable,n_same_direction,frac_same_direction,n_recovered_fdr05_same_sign,frac_recovered_fdr05_same_sign,median_abs_log2FC_signature_rnaseq,median_abs_log2FC_this_cohort,compression_slope_vs_rnaseq
GSE5406,GPL96,5034,2816,0.5593961064759635,2001,0.7105823863636364,571,0.20276988636363635,0.4448291247364617,0.09178883387853914,0.4562866939862719
GSE1869,GPL96,5034,2816,0.5593961064759635,1254,0.4453125,134,0.04758522727272727,0.4448291247364617,0.18623878508332684,0.3641651872778719
GSE57345,GPL11532,5034,3737,0.7423520063567739,2896,0.7749531709927749,2194,0.5871019534385871,0.4406916268528895,0.10764183234148278,0.38096788518920716
