n_tissues,abundance_cutoff_tpm,definition,n_of_42_pass_cardiac_specificity,ligands_passing,n_pass_specificity_and_abundance,ligands_specific_and_abundant,NPPA_NPPB_still_only_specific_and_abundant,more_permissive_than_rank1,admits_ligand_paper_excluded,admits_specific_and_abundant_beyond_NPPA_NPPB,n_surviving_axes_under_this_definition,definition_stringency,central_negative_holds
52,5.0,CRITERION_PREREGISTERED,,specificity per definition column; abundance fixed at heart_best_median >= 5 TPM (the published low-abundance cutoff); an axis SURVIVES iff ligand passes specificity AND abundance AND its receptor is tumour-enriched per axis_survival.csv. GTEx v8 medians fetched live from gtexportal.org API; 52-tissue set reproduced exactly (54 fetched minus Cells_Cultured_fibroblasts and Cells_EBV-transformed_lymphocytes).,,,,,,,,,
52,5.0,rank1_published,2,NPPA;NPPB,2,NPPA;NPPB,True,False,none,none,0,strictest (heart must be top tissue),True
52,5.0,top3,3,GDF6;NPPA;NPPB,2,NPPA;NPPB,True,True,GDF6,none,0,strict,True
52,5.0,top5,3,GDF6;NPPA;NPPB,2,NPPA;NPPB,True,True,GDF6,none,0,strict,True
52,5.0,upper_half,21,AGT;CCL3;CTF1;CXCL9;FGF1;GAS6;GDF6;HBEGF;IGF1;IGF2;IL17B;INHBA;NPPA;NPPB;PDGFD;POSTN;PROS1;PTN;TGFB3;TNF;VEGFB,14,AGT;CTF1;FGF1;GAS6;HBEGF;IGF2;NPPA;NPPB;PDGFD;POSTN;PROS1;PTN;TGFB3;VEGFB,False,True,AGT;CCL3;CTF1;CXCL9;FGF1;GAS6;GDF6;HBEGF;IGF1;IGF2;IL17B;INHBA;PDGFD;POSTN;PROS1;PTN;TGFB3;TNF;VEGFB,AGT;CTF1;FGF1;GAS6;HBEGF;IGF2;PDGFD;POSTN;PROS1;PTN;TGFB3;VEGFB,29,permissive (heart above median of 52 tissues),False
52,5.0,fold_enrichment_2x,10,AGT;FGF1;GDF6;IGF2;INHBA;NPPA;NPPB;PDGFD;POSTN;PROS1,8,AGT;FGF1;IGF2;NPPA;NPPB;PDGFD;POSTN;PROS1,False,True,AGT;FGF1;GDF6;IGF2;INHBA;PDGFD;POSTN;PROS1,AGT;FGF1;IGF2;PDGFD;POSTN;PROS1,14,moderate (>=2x all-tissue median),False
52,5.0,fold_enrichment_5x,4,AGT;GDF6;NPPA;NPPB,3,AGT;NPPA;NPPB,False,True,AGT;GDF6,AGT,0,strict (>=5x all-tissue median),True
