gene,verdict,reason,n_pairs,median_paired_diff,p_value,batch_handling,n_tumor,n_normal,frac_tumor,frac_normal,n_dropped_no_shared_plex,n_aliquots_dropped_single_arm_plex,tumor_type,pdc_study_id,blind,npr1_in_matrix,miss_tumor,miss_normal,miss_fisher_p,gapdh_tumor,gapdh_normal,gapdh_arm_invariant,npr1_genomewide_percentile,base_rate_fraction_depleted,fdr,reason_if_untestable,testable
NPR1,TESTABLE,passes pre-spec 2.1,68,-0.11404999999999998,0.017457518590213484,batch_free,92,68,0.8363636363636363,0.8095238095238095,0,0,ccRCC,PDC000127,False,True,0.16363636363636364,0.19047619047619047,0.7041798979462112,0.29478818181818184,-0.42687857142857133,False,34.424009928917975,0.3657903644364211,0.017457518590213484,,True
NPR1,TESTABLE,passes pre-spec 2.1,13,-0.6971,0.013427734375,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,0.2281376470588235,-0.15599565217391306,False,6.919109321927286,0.14643351364951565,0.017457518590213484,,True
NPR1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,BRCA,PDC000120,True,False,,,,-0.06408898305084747,0.2635277777777778,False,,,,gene absent from study quantDataMatrix gene index,False
NPR1,UNTESTABLE,tumour non-missing fraction 0.383 (<0.60); normal non-missing fraction 0.333 (<0.60),0,,,none,54,25,0.3829787234042553,0.3333333333333333,0,0,PAAD,PDC000270,True,True,0.6170212765957447,0.6666666666666666,0.5532243236055874,-0.07431985815602836,-0.29072000000000003,False,,0.3535331437322249,,tumour non-missing fraction 0.383 (<0.60); normal non-missing fraction 0.333 (<0.60),False
NPR1,TESTABLE,passes pre-spec 2.1,20,-0.92855,0.0004825592041015625,batch_free,68,39,0.68,0.7959183673469388,0,0,UCEC,PDC000125,True,True,0.32,0.20408163265306123,0.17584028068425606,0.06510700000000001,-0.06727346938775512,False,7.022275496953351,0.34352212566177204,0.0014476776123046875,,True
NPR1,UNTESTABLE,tumour non-missing fraction 0.473 (<0.60); normal non-missing fraction 0.495 (<0.60),0,,,none,52,50,0.4727272727272727,0.49504950495049505,0,0,LUAD,PDC000153,True,True,0.5272727272727272,0.504950495049505,0.7836436595400775,0.033188636363636365,-0.12432673267326735,False,,0.3870967741935484,,tumour non-missing fraction 0.473 (<0.60); normal non-missing fraction 0.495 (<0.60),False
NPR1,UNTESTABLE,tumour non-missing fraction 0.294 (<0.60); normal non-missing fraction 0.386 (<0.60),0,,,none,32,27,0.29357798165137616,0.38571428571428573,0,0,HNSC,PDC000221,True,True,0.7064220183486238,0.6142857142857143,0.25404611249614273,-0.08675045871559631,0.06534428571428572,False,,0.36094550779207196,,tumour non-missing fraction 0.294 (<0.60); normal non-missing fraction 0.386 (<0.60),False
NPR1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,GBM,PDC000204,True,False,,,,0.012315000000000012,0.17334999999999998,False,,,,gene absent from study quantDataMatrix gene index,False
