gene,protein_class,secretome_location,secretome_function,is_secreted,is_plasma,is_membrane,is_intracellular,is_secreted_to_blood,secretion_tier,is_structural_ecm
IGHV3-30,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-33,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-35,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-38,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-43,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-48,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-49,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-53,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-64,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-64D,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-66,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-7,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-72,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-73,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
IGHV3-74,"Immunoglobulin genes, Predicted secreted proteins",Immunoglobulin genes,Immunity,True,False,False,False,False,extended,False
