gene,gencodeId,tissue,median_tpm
NPPB,ENSG00000120937.8,Esophagus_Gastroesophageal_Junction,0.34707899999999997
NPPB,ENSG00000120937.8,Esophagus_Mucosa,0.0895663
NPPB,ENSG00000120937.8,Esophagus_Muscularis,0.246071
NPPB,ENSG00000120937.8,Fallopian_Tube,0.14807
NPPB,ENSG00000120937.8,Heart_Atrial_Appendage,1639.56
NPPB,ENSG00000120937.8,Heart_Left_Ventricle,26.7743
NPPB,ENSG00000120937.8,Kidney_Cortex,0.113773
NPPB,ENSG00000120937.8,Kidney_Medulla,0.0
NPPB,ENSG00000120937.8,Liver,0.114646
NPPB,ENSG00000120937.8,Lung,0.316623
NPPB,ENSG00000120937.8,Minor_Salivary_Gland,0.149231
NPPB,ENSG00000120937.8,Muscle_Skeletal,0.226661
NPPB,ENSG00000120937.8,Nerve_Tibial,0.5430699999999999
NPPB,ENSG00000120937.8,Ovary,0.308606
NPPB,ENSG00000120937.8,Pancreas,0.137337
NPPB,ENSG00000120937.8,Pituitary,0.514502
NPPB,ENSG00000120937.8,Prostate,0.214641
NPPB,ENSG00000120937.8,Skin_Not_Sun_Exposed_Suprapubic,0.327214
NPPB,ENSG00000120937.8,Skin_Sun_Exposed_Lower_leg,0.284321
NPPB,ENSG00000120937.8,Small_Intestine_Terminal_Ileum,0.151366
NPPB,ENSG00000120937.8,Spleen,0.12098199999999999
NPPB,ENSG00000120937.8,Stomach,0.398435
NPPB,ENSG00000120937.8,Testis,0.583287
NPPB,ENSG00000120937.8,Thyroid,0.326008
NPPB,ENSG00000120937.8,Uterus,0.42758900000000005
NPPB,ENSG00000120937.8,Vagina,0.30778
NPPB,ENSG00000120937.8,Whole_Blood,0.09597710000000001
AGT,ENSG00000135744.7,Adipose_Subcutaneous,7.42255
AGT,ENSG00000135744.7,Adipose_Visceral_Omentum,14.0063
AGT,ENSG00000135744.7,Adrenal_Gland,19.1442
AGT,ENSG00000135744.7,Artery_Aorta,60.8654
AGT,ENSG00000135744.7,Artery_Coronary,102.48899999999999
AGT,ENSG00000135744.7,Artery_Tibial,60.5178
AGT,ENSG00000135744.7,Bladder,3.43154
AGT,ENSG00000135744.7,Brain_Amygdala,207.47799999999998
AGT,ENSG00000135744.7,Brain_Anterior_cingulate_cortex_BA24,154.757
AGT,ENSG00000135744.7,Brain_Caudate_basal_ganglia,227.56099999999998
AGT,ENSG00000135744.7,Brain_Cerebellar_Hemisphere,314.361
AGT,ENSG00000135744.7,Brain_Cerebellum,274.635
AGT,ENSG00000135744.7,Brain_Cortex,187.17
AGT,ENSG00000135744.7,Brain_Frontal_Cortex_BA9,156.14600000000002
AGT,ENSG00000135744.7,Brain_Hippocampus,133.694
AGT,ENSG00000135744.7,Brain_Hypothalamus,111.51299999999999
AGT,ENSG00000135744.7,Brain_Nucleus_accumbens_basal_ganglia,125.948
AGT,ENSG00000135744.7,Brain_Putamen_basal_ganglia,216.332
