axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
IGF2->ITGB4,IGF2,ITGB4,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,BLCA;ESCA;HNSC;KIRP;LUAD;LUSC;STAD;THCA,8,True,False,False,False,BLCA;CHOL;KIRP;LUAD;LUSC;MESO;OV;PAAD;TGCT;THCA;UCEC,11,False
IL16->CD4,IL16,CD4,not-cardiac (below tissue median),False,0.272482902072103,False,0.002779052666428424,False,35.0,Brain_Cerebellum,False,KIRC;KIRP;STAD;THCA,4,True,False,False,False,BRCA;CESC;ESCA;GBM;HNSC;KIRC;LGG;OV;PAAD;PRAD;SKCM;STAD;TGCT;THCA;UCEC;UCS;UVM,17,False
IL17B->IL17RB,IL17B,IL17RB,not-cardiac (heart TPM < 1),False,0.2533793260931514,False,5.6123285710621785e-05,True,26.0,Nerve_Tibial,False,COAD;STAD,2,True,False,False,False,READ,1,False
INHBA->ACVR1B,INHBA,ACVR1B,cardiac-expressed-but-not-enriched,False,0.5179855385031641,False,0.0011198947156589123,True,14.0,Artery_Tibial,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
INHBA->ACVR2A,INHBA,ACVR2A,cardiac-expressed-but-not-enriched,False,0.5179855385031641,False,0.0011198947156589123,True,14.0,Artery_Tibial,False,,0,False,False,False,False,PCPG,1,False
INHBA->ACVR2B,INHBA,ACVR2B,cardiac-expressed-but-not-enriched,False,0.5179855385031641,False,0.0011198947156589123,True,14.0,Artery_Tibial,False,,0,False,False,False,False,BRCA;KIRP;LGG;PCPG;TGCT;UCS,6,False
LGALS9->CD44,LGALS9,CD44,not-cardiac (below tissue median),False,0.4852385620017623,True,0.0077392720685717595,False,32.0,Spleen,False,COAD;ESCA;KICH;KIRC;KIRP;THCA,6,True,False,False,False,CHOL;COAD;GBM;KICH;KIRC;KIRP;LGG;LIHC;OV;PCPG;STAD;TGCT;UVM,13,False
LGALS9->HAVCR2,LGALS9,HAVCR2,not-cardiac (below tissue median),False,0.4852385620017623,True,0.0077392720685717595,False,32.0,Spleen,False,KIRC;KIRP,2,True,False,False,False,GBM;LGG;PAAD,3,False
LGALS9->PTPRC,LGALS9,PTPRC,not-cardiac (below tissue median),False,0.4852385620017623,True,0.0077392720685717595,False,32.0,Spleen,False,KIRC;KIRP;STAD,3,True,False,False,False,BRCA;CESC;ESCA;GBM;HNSC;KIRC;KIRP;OV;PAAD;STAD;TGCT,11,False
MDK->ITGA4,MDK,ITGA4,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,KIRC;STAD,2,True,False,False,False,KIRC;LUAD;STAD;TGCT,4,False
MDK->ITGA6,MDK,ITGA6,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,COAD;ESCA;HNSC;KICH;LIHC;LUSC;STAD;THCA,8,True,False,False,False,ACC;BLCA;CHOL;ESCA;KICH;LIHC;LUSC;OV;PCPG;READ,10,False
MDK->ITGB1,MDK,ITGB1,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,HNSC;KIRC;STAD,3,True,False,False,False,GBM;LGG;UVM,3,False
MDK->LRP1,MDK,LRP1,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,KIRC,1,True,False,False,False,KICH;KIRC;KIRP;PAAD;PCPG;TGCT,6,False
MDK->NCL,MDK,NCL,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,COAD;ESCA;LUAD;LUSC;STAD,5,True,False,False,False,,0,False
MDK->PTPRZ1,MDK,PTPRZ1,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,HNSC;LUSC,2,True,False,False,False,HNSC;LUSC,2,False
MDK->SDC1,MDK,SDC1,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,BRCA;ESCA;LUAD;LUSC;THCA;UCEC,6,True,False,False,False,ACC;BLCA;BRCA;CESC;OV;PAAD;READ;SARC;TGCT;THCA;UCEC;UCS;UVM,13,False
MDK->SDC2,MDK,SDC2,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,KICH,1,True,False,False,False,ACC;PCPG;TGCT,3,False
MDK->SDC4,MDK,SDC4,not-cardiac (below tissue median),True,1.5163783028033315,False,0.0020075153654315206,False,36.0,Ovary,False,COAD;KICH;THCA;UCEC,4,True,False,False,False,,0,False
MSTN->ACVR1B,MSTN,ACVR1B,not-cardiac (heart TPM < 1),False,0.350109995750441,False,0.00025662662045091903,False,46.0,Cervix_Ectocervix,False,LUAD;LUSC;UCEC,3,True,False,False,False,ACC;LUAD;LUSC;OV;PCPG;READ;UCEC;UCS,8,False
MSTN->ACVR2A,MSTN,ACVR2A,not-cardiac (heart TPM < 1),False,0.350109995750441,False,0.00025662662045091903,False,46.0,Cervix_Ectocervix,False,,0,False,False,False,False,PCPG,1,False
MSTN->ACVR2B,MSTN,ACVR2B,not-cardiac (heart TPM < 1),False,0.350109995750441,False,0.00025662662045091903,False,46.0,Cervix_Ectocervix,False,,0,False,False,False,False,BRCA;KIRP;LGG;PCPG;TGCT;UCS,6,False
MSTN->TGFBR1,MSTN,TGFBR1,not-cardiac (heart TPM < 1),False,0.350109995750441,False,0.00025662662045091903,False,46.0,Cervix_Ectocervix,False,HNSC;THCA,2,True,False,False,False,ACC;BRCA;CESC;CHOL;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LUAD;LUSC;PAAD;PCPG;SARC;SKCM;STAD;TGCT;THCA;UVM,21,False
NPPA->NPR1,NPPA,NPR1,cardiac-enriched,True,2.200988204273308,True,0.17781354325109325,True,1.0,Heart_Atrial_Appendage,True,,0,False,False,True,False,,0,False
NPPB->NPR1,NPPB,NPR1,cardiac-enriched,True,2.0892659885031186,True,0.04721285586666154,True,1.0,Heart_Atrial_Appendage,True,,0,False,False,True,False,,0,False
NRG1->ERBB2,NRG1,ERBB2,not-cardiac (heart TPM < 1),False,0.2947738288229998,False,0.0001646788517294926,False,31.0,Cervix_Endocervix,False,BLCA;BRCA;LUAD;THCA;UCEC,5,True,False,False,False,BLCA;BRCA;CHOL;GBM;LUAD;OV;READ;SARC;UCEC;UCS;UVM,11,False
NRG1->ERBB3,NRG1,ERBB3,not-cardiac (heart TPM < 1),False,0.2947738288229998,False,0.0001646788517294926,False,31.0,Cervix_Endocervix,False,BLCA;BRCA;KIRC;KIRP;LIHC;LUAD;PRAD;THCA;UCEC,9,True,False,False,False,BLCA;BRCA;CESC;KIRP;LUAD;LUSC;OV;PRAD;READ;TGCT;THCA;UCEC;UCS;UVM,14,False
NRG1->ERBB4,NRG1,ERBB4,not-cardiac (heart TPM < 1),False,0.2947738288229998,False,0.0001646788517294926,False,31.0,Cervix_Endocervix,False,,0,False,False,False,False,BRCA;KICH;LGG;OV,4,False
NRG1->ITGAV,NRG1,ITGAV,not-cardiac (heart TPM < 1),False,0.2947738288229998,False,0.0001646788517294926,False,31.0,Cervix_Endocervix,False,COAD;HNSC;LUAD;LUSC;STAD,5,True,False,False,False,BRCA;CHOL;COAD;ESCA;GBM;KICH;LGG;LIHC;LUSC;PAAD;PRAD,11,False
NRG1->ITGB3,NRG1,ITGB3,not-cardiac (heart TPM < 1),False,0.2947738288229998,False,0.0001646788517294926,False,31.0,Cervix_Endocervix,False,,0,False,False,False,False,SKCM,1,False
NTF3->NTRK1,NTF3,NTRK1,not-cardiac (below tissue median),False,0.5033083462856781,False,0.0005899481743453639,False,29.0,Artery_Tibial,False,,0,False,False,False,False,PCPG,1,False
NTF3->NTRK2,NTF3,NTRK2,not-cardiac (below tissue median),False,0.5033083462856781,False,0.0005899481743453639,False,29.0,Artery_Tibial,False,LUSC,1,True,False,False,False,HNSC;KIRC;LUSC;THCA,4,False
NTF3->NTRK3,NTF3,NTRK3,not-cardiac (below tissue median),False,0.5033083462856781,False,0.0005899481743453639,False,29.0,Artery_Tibial,False,,0,False,False,False,False,LGG,1,False
PDGFD->PDGFRB,PDGFD,PDGFRB,cardiac-expressed-but-not-enriched,False,0.3416580679433266,True,0.010245086473125487,True,14.0,Artery_Aorta,False,COAD;HNSC;KIRC;LIHC;STAD,5,True,False,False,False,CHOL;PAAD,2,False
POSTN->ITGAV,POSTN,ITGAV,cardiac-expressed-but-not-enriched,False,0.8448563302070116,True,0.04750888375795191,True,12.0,Artery_Aorta,False,COAD;HNSC;LUAD;LUSC;STAD,5,True,False,False,False,BRCA;CHOL;COAD;ESCA;GBM;KICH;LGG;LIHC;LUSC;PAAD;PRAD,11,False
POSTN->ITGB3,POSTN,ITGB3,cardiac-expressed-but-not-enriched,False,0.8448563302070116,True,0.04750888375795191,True,12.0,Artery_Aorta,False,,0,False,False,False,False,SKCM,1,False
POSTN->ITGB5,POSTN,ITGB5,cardiac-expressed-but-not-enriched,False,0.8448563302070116,True,0.04750888375795191,True,12.0,Artery_Aorta,False,HNSC;LUSC;THCA,3,True,False,False,False,OV;PAAD;TGCT;UVM,4,False
PROS1->AXL,PROS1,AXL,cardiac-expressed-but-not-enriched,False,0.320427129516637,True,0.03054812275405147,True,9.0,Nerve_Tibial,False,HNSC;KIRC;KIRP,3,True,False,False,False,KIRC;KIRP;PAAD,3,False
PROS1->TYRO3,PROS1,TYRO3,cardiac-expressed-but-not-enriched,False,0.320427129516637,True,0.03054812275405147,True,9.0,Nerve_Tibial,False,BLCA;LUSC,2,True,False,False,False,ACC;BLCA;CESC;CHOL;HNSC;LUSC;MESO;SKCM;UCS,9,False
PTN->ITGAV,PTN,ITGAV,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,COAD;HNSC;LUAD;LUSC;STAD,5,True,True,False,False,BRCA;CHOL;COAD;ESCA;GBM;KICH;LGG;LIHC;LUSC;PAAD;PRAD,11,True
PTN->ITGB3,PTN,ITGB3,cardiac-expressed-but-not-enriched,True,1.5022799106898648,True,0.023518792871517282,True,23.0,Pituitary,True,,0,False,False,False,False,SKCM,1,True
