gene,gene_symbol,logFC,t,P.Value,adj.P.Val,AveExpr,s2_prior_gene,limma_variant,df_prior
ENSG00000269968,RP5-940J5.9,-1.27255319985792,-7.13813606230844,9.858029207890261e-10,4.42601270378843e-08,2.9173821905144,0.117813899647608,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269970,RP11-498E2.9,-0.092504917425293,-0.441494678796344,0.660319308559826,0.751719632679299,0.616620318534961,0.140234324266341,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269971,RP3-426I6.5,0.540338395474361,1.98158547746763,0.0517555600297443,0.104119747864827,0.71128806190013,0.140524813111398,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269973,RP11-95D17.1,0.122029976608689,1.84597724522878,0.0694473559370744,0.132117006909898,0.539900393759035,0.13995773376067,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269976,RP11-130L8.2,0.117838797652195,0.922877824513977,0.359482058377541,0.478817249057239,0.881169732952717,0.140875834790536,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269978,RP11-338N10.3,0.582310824526572,2.6327351732333,0.0105698310376411,0.0283007452077131,1.69726146058114,0.137905845284386,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269979,RP11-498E2.7,-0.0496343953883515,-0.513325600807671,0.609463014193691,0.710489535434036,1.01269772724027,0.14096735343574,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269981,RP11-34P13.16,0.192738614372545,0.689884451584427,0.492721279263376,0.609365727515272,1.01162163792139,0.140967322872168,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269986,RP11-96H17.3,0.00065700793799,0.0040022380732396,0.996818935589302,0.997684111222036,1.80963436129314,0.136712464988678,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269988,RP11-395P17.11,0.212077098895317,2.18540183282158,0.0324668764397665,0.0713489731991258,1.50690816526343,0.139451907556383,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269990,CTD-3074O7.12,0.181556251521213,2.33799876727925,0.0224739637398707,0.0526861272780405,1.47943668750357,0.139626522795078,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269996,RP11-343N15.5,0.322573448867336,2.89453768090623,0.0051636102849133,0.0155693462342691,2.42027688447668,0.1274049119456,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000269997,RP11-214K3.21,-0.0486481509680605,-0.443537176990358,0.658849294276644,0.750319041405545,0.773916745917694,0.140681700335061,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270000,RP3-449M8.9,0.136559485227115,1.11901529469473,0.267249566407686,0.384353428989699,0.403049959013816,0.139390154001418,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270001,RP11-218C14.8,-0.227575446716989,-1.79276144095555,0.0776614286636857,0.144595243292834,0.954500268896609,0.140948234850443,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270005,RP11-380L11.3,-0.22892976982036,-2.32567776424217,0.0231650448877819,0.0540517714048244,1.79327257510466,0.136898559361817,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270006,RP11-178L8.7,0.211146131970241,2.41370832127646,0.0186160545204752,0.0450936657453557,0.611125724463768,0.14021566517429,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270008,RP11-298P3.4,0.723032251137604,5.01199703116412,4.39879527449845e-06,4.17399759481425e-05,1.0598877825363,0.140956279999197,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270009,RP1-127C7.6,0.100416011096209,1.19488111812352,0.236472702053481,0.349296629272012,0.362015870725979,0.139204989140615,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270010,CTD-2132N18.4,0.159402735952356,1.22644892901624,0.224451627335424,0.33597971954083,1.13318107260098,0.140888974806053,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270011,ZNF559-ZNF177,-0.267197101601341,-1.78909502909902,0.0782560021099034,0.14547675260716,1.29992203434196,0.140488021387857,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270012,LL0XNC01-7P3.1,0.159261190436699,2.09561597431618,0.040013242881209,0.0845573062815672,0.964028414067397,0.140953760036736,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270015,RP11-540B6.6,-0.0638953191842792,-0.928143849837285,0.356764839121946,0.476222592004498,2.32655524584303,0.129072713876706,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270018,RP3-462E2.5,0.646134322550474,5.38670605367284,1.06072515449717e-06,1.26238392911641e-05,0.863921645869621,0.140851419644187,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270021,CTC-203F4.2,0.508322144447275,6.25093666617939,3.56085828427587e-08,7.8499446730573e-07,0.895568354121806,0.140894113219369,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270022,RNU12,0.0942580960348589,0.44912373167026,0.654835471117615,0.746823864502409,0.282020906563045,0.138828889299152,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270028,RP11-380L11.4,0.0680276201397106,0.59356018465031,0.554865104664499,0.664903437059679,1.23667107719157,0.140682698679981,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270030,RP11-326C3.13,-0.0743018924005302,-0.800354092485642,0.426419611997817,0.546784231568951,0.487839836478983,0.13975193319439,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270031,RP3-426I6.6,0.352488013280151,2.51713717371831,0.014305101335127,0.0362928173057703,0.743966958857098,0.140610421016946,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270039,RP11-571M6.17,0.520138437534712,6.06504579979044,7.46899615692082e-08,1.43674895345158e-06,2.9128423078115,0.117904589544603,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270040,RP11-416A14.1,0.260912114359474,2.58042818381329,0.0121338037449733,0.0316452374779626,0.312705493773784,0.138975259962778,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270041,LL22NC03-N27C7.1,0.4110245564747,3.78651494208725,0.0003358031728034,0.0015944053088812,1.56392710702509,0.139051310794198,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270048,RP11-214K3.22,0.136098359688827,0.688832219828482,0.493378914079044,0.609884359366678,0.989141901222459,0.140963868010376,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270049,RP11-297D21.4,0.418404105986977,4.43615798396584,3.61400792764382e-05,0.0002440151423564,1.10885252856362,0.140918284734266,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270055,CTD-3092A11.2,0.0927021683152004,1.1238661125978,0.265201033140951,0.381996886208549,0.742636688743316,0.14060709325236,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270059,RP11-88H12.2,0.0033643166590829,0.023393225987329,0.981408235093533,0.98717539394451,1.41078897707009,0.140012082806697,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270060,RP11-390K5.6,0.237249715926366,1.93257711205986,0.0576452227007447,0.113641067965927,2.42403439643894,0.127336743375496,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000270061,RP11-214K3.19,-0.302464594068587,-2.03671548870939,0.0457533512074429,0.0940919771874484,1.01853160262053,0.140967302519598,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
