gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
HMGN2,1.077664685059138,7.7954585426677685,1.6338368125134949e-09,2.0426227830043714e-05,10.59450085781081,31,6,0.9877318778333309,0.006669997964892843,1.1204898313571572,0.00018599321721169234,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SERPINA3,-1.0187102656666618,-6.933917165186966,2.4749714746263967e-08,0.00015471046687889605,8.150449680297296,31,6,-1.2302070006666714,0.006374541411411371,-0.9179975347142739,0.008318126654160315,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
TRMT5,0.8344360410376372,6.3977475243549335,1.3768898540329606e-07,0.0005737958985040024,9.845328748270271,31,6,0.6633075148666592,0.012099075434580596,0.9159258154047517,0.0003723895856264993,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ATG14,0.9107869280698925,6.2626031845780865,2.1257946900698037e-07,0.0006644171303813171,7.323441975378378,31,6,0.8243621033666642,0.009029306488939268,0.9519416065000046,0.0019795827415514853,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZSCAN18,0.8532485008333379,5.9430942799176805,5.942477015183896e-07,0.0014858569528765813,9.09943824824324,31,6,0.7990621193333293,0.007612254865189721,0.8790515396428636,0.012264821742403726,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
FCN3,-1.3892012585107585,-5.804619281113793,9.278239157729892e-07,0.0017990937557374148,7.201167229081081,31,6,-1.5435503762333327,0.006669997964892843,-1.3157016786428508,0.01657855750806412,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
COL21A1,1.2574473986236492,5.779057698324687,1.0073313302001202e-06,0.0017990937557374148,8.271002332324326,31,6,1.24436881733333,0.008820554418750029,1.263675294476188,0.015094550160182511,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HBP1,0.7160580505591433,5.625641823647139,1.6494706083752266e-06,0.0025777101932383853,8.994372785513512,31,6,0.6215297726333365,0.01547176209381028,0.7610715162380994,0.009533316551790577,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ARHGAP1,0.6632701138709538,5.513166896801583,2.3667799344613477e-06,0.003256248109747926,10.07019316310811,31,6,0.7752208179000035,0.009024442952444476,0.6099602548095281,0.016162360344039207,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MYH6,-1.675340123139781,-5.483316230728303,2.604581754717586e-06,0.003256248109747926,10.25401470691892,31,6,-1.4931630751333274,0.03295145737861201,-1.762091098380949,0.0019795827415514853,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
P2RY2,-0.4020298582795747,-5.370151057127406,3.742788804177914e-06,0.003940963950388029,6.781285669459458,31,6,-0.3892959905666695,0.012099075434580596,-0.40809360480951234,0.016162360344039207,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CRYM,0.8683621377580423,5.3668353264059405,3.7827201571473646e-06,0.003940963950388029,10.73225715545946,31,6,0.9351884694999996,0.008640232306809147,0.836540075023811,0.02158647551639414,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MGEA5,1.1824290548763194,5.216219999670582,6.121201964190151e-06,0.005634750388003414,8.465604484567567,31,6,1.0682566254666643,0.008640232306809147,1.236796878404758,0.016554644537028915,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SVIL,0.6645088699677393,5.206701866257856,6.309910848828011e-06,0.005634750388003414,10.615495875837835,31,6,0.5998120110000049,0.011312991141754951,0.695316898047632,0.016162360344039207,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
LSR,-0.5141384259516124,-5.140747060530656,7.785963910132153e-06,0.006489341386964813,5.678858367351351,31,6,-0.5065748353999984,0.008820554418750029,-0.51774013573809,0.017665162485454813,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HMGB2,1.3867199031344046,5.072451469640591,9.675498257636625e-06,0.0075601924510608175,7.066046745162162,31,6,1.0959120848666677,0.007612254865189721,1.5251998165952405,0.016162360344039207,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
PREPL,0.8138215143548375,5.0346473394063445,1.0910035302383706e-05,0.00783058671231599,8.359279444972971,31,6,0.8176264121999992,0.006669997964892843,0.8120096582381044,0.02158647551639414,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
TBC1D8,0.7002211346505298,5.02430230380791,1.1274240987177077e-05,0.00783058671231599,9.183512161297298,31,6,0.7608028356666703,0.009024442952444476,0.671372705595251,0.02158647551639414,GSE1869,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
