replicate,seed,n_failing,n_nonfailing,n_sig_fdr05,n_shared_genes,n_ref_sig_among_shared,n_sig_cohort_among_shared,n_sig_in_both,rho_all_shared,p_rho_all_shared,rho_sig_in_both,p_rho_sig_in_both,concordance_sig_in_both
1,20260727,31,6,133,9711,3217,126,58,0.14955126325684218,1.1049863512071034e-49,0.7098034390476484,4.421309304800267e-10,0.7931034482758621
2,20260727,31,6,496,9711,3217,479,228,0.32822263301856075,1.1907510787576277e-242,0.8068629724089961,1.4188827651410587e-53,0.9298245614035088
3,20260727,31,6,306,9711,3217,299,131,0.2074113760761367,7.66670986613671e-95,0.772337586078044,3.406580771384724e-27,0.8549618320610687
4,20260727,31,6,32,9711,3217,30,18,0.1926319287741451,7.977620854220562e-82,0.8596491228070176,4.827997425048468e-06,0.8888888888888888
5,20260727,31,6,488,9711,3217,464,199,0.27865930521989446,1.1139407948299838e-172,0.7749215775848942,4.097241885423923e-41,0.8743718592964824
