gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,UCEC,UCS,UVM
ACTA2,2274.1500,3761.4150,5994.9500,1506.1300,4142.8500,2913.8130,2917.1903,1478.2150,1548.0100,1743.5600,9421.2300,1323.1000,459.3335,2923.3700,3887.5300,3045.4700,5244.0600,2423.3697,12140.3500,3750.2900,18147.1000,3523.5646,9319.9500,1567.5600,5382.7075,1801.8850,2414.3700,2269.8818,2294.2300,2094.9850
ACTB,76914.4000,111085.0000,91635.2000,106187.0000,92767.5500,104629.3372,108412.0707,129799.0000,135040.5000,79977.0000,78843.2000,93378.9500,72442.1500,69372.1000,112608.0000,104814.0000,119572.0000,83701.7405,119976.0000,50229.3000,61388.2000,100635.5662,150326.0000,110994.0000,115345.2761,118291.5000,65159.2000,100989.5386,83768.9000,68015.3000
ACVR1,434.4360,545.0585,869.0850,640.0420,1271.1150,512.9695,990.1364,694.3085,975.5390,825.6605,917.8900,998.3605,605.9715,608.6140,1045.8800,1074.8000,1188.6400,941.7662,1264.2750,1004.5900,631.9440,517.7645,1321.1400,888.8290,854.4913,826.4655,2512.0700,695.1238,835.4020,475.6390
ACVR1B,1214.6300,966.8905,1228.3100,1172.4500,1364.2050,1631.3950,1319.7812,879.8595,1143.5350,2684.2850,1538.9500,1901.2750,1088.6500,1221.9900,1326.4000,1263.5900,747.7550,1374.8850,1532.9450,2332.6500,1372.4700,1878.9931,507.6040,704.2960,1440.3092,2851.5100,734.1510,1142.2932,1086.3100,838.0390
ACVR1C,6.2714,27.4483,18.3520,46.8750,9.7846,103.8885,123.9693,14.9750,83.9160,86.4038,6.0423,3.6392,56.6091,26.3058,19.4489,111.8780,4.9219,14.9015,37.2675,85.0397,10.8707,90.6945,8.3141,30.9350,66.5843,25.5968,22.2952,11.6756,18.5102,21.4956
ACVR2A,230.9160,379.5700,295.9640,284.7810,345.9320,273.3108,348.6387,278.8835,238.5375,235.8845,343.9190,339.2270,338.3445,260.4050,277.6230,321.5990,298.8500,321.3568,452.1465,446.6130,455.5840,281.3201,316.4190,225.2560,325.0580,336.0915,336.0800,266.6016,604.3690,188.5580
ACVR2B,359.5840,310.2520,358.9880,203.7300,147.9560,244.5554,246.6280,221.2755,152.4635,192.7505,290.7860,349.9950,683.4975,202.4190,280.4880,242.0640,177.8320,412.7594,205.9230,539.1840,313.4330,306.1510,165.4520,328.8390,224.5128,1629.4800,331.7970,341.0675,628.2180,190.5425
ACVRL1,327.1680,316.3760,414.5260,201.2030,371.6260,1033.4278,273.3359,452.0460,291.2470,383.7300,1583.4900,349.9785,254.1895,322.8010,578.5540,397.3870,345.4960,229.7984,817.2750,893.4810,250.6300,1211.3950,1044.5800,281.8560,562.6472,361.8365,609.6110,333.0567,496.3090,305.3645
ADCYAP1,1.3435,5.9097,7.6254,2.0730,2.7409,8.1930,5.8738,23.1122,7.3935,103.4725,13.1300,7.0624,12.1199,1.8229,8.6075,9.5569,642.8030,2.0052,133.8310,76.2278,5.2368,12.8030,11.0372,2.7088,9.7604,4.1281,1.6297,0.9658,7.0242,0.3580
ADCYAP1R1,0.0000,0.0000,1.2111,0.0000,0.0000,0.0000,-0.5875,476.0975,0.9899,0.3307,0.0000,0.0000,1733.7400,0.0000,0.3329,0.4192,0.4630,5.5174,1.2377,113.7440,0.4890,0.0000,3.0771,0.0000,-0.5875,5.8154,1.2293,5.8804,3.7762,0.0000
ADIPOQ,0.0000,0.0000,133.7560,0.0000,0.0000,0.0000,0.0434,0.0000,0.0000,0.0000,0.0000,0.0000,0.2980,0.0000,0.0000,0.0000,0.3905,0.5996,3.6426,0.0000,0.0000,0.0000,0.0000,0.0000,0.4334,0.8612,0.0000,0.0000,0.0000,0.0000
ADIPOR1,2381.2100,2658.6800,3854.9200,3272.8000,3052.5150,2470.3260,2470.8706,2141.2550,3523.3950,1920.2350,2694.9000,2130.0450,1575.4700,3943.8100,3714.7600,3751.7700,2291.6500,3077.5377,2594.2400,4622.8400,3102.7100,2571.5101,1989.5400,4042.0200,2298.7328,2671.0200,2133.3300,2604.1981,2376.1900,3229.7250
ADIPOR2,5058.6600,1673.9300,2512.4900,2119.6600,1991.0250,2262.0030,2526.0055,1781.2850,2458.5950,5004.0750,1804.3600,1633.8600,3080.3300,3332.9200,1575.1400,2692.7600,1602.5800,1773.8185,1898.0800,1566.3800,1830.7200,2245.0524,1556.7600,3495.2000,2115.2247,4562.0300,1503.0900,1281.0824,1665.8100,3966.4900
ADM,319.3850,807.5525,118.8570,1190.4300,356.5015,365.6601,515.5846,788.0330,2052.4900,2544.0250,3903.8900,332.7245,56.3577,309.3440,271.8300,1440.8800,408.4390,257.2654,489.2125,1936.4900,177.6890,379.5728,664.7850,301.2680,217.4553,239.6740,690.2650,597.3745,491.9400,253.9785
ADORA1,34.2556,26.5279,192.1720,50.4171,95.2939,28.5859,19.0403,1634.1500,25.5607,10.8007,73.6143,537.9605,990.0680,18.7366,97.7131,39.5788,84.6800,193.5895,284.9610,113.3230,10.6445,26.3267,40.8922,36.1197,35.0580,74.8153,790.5950,62.1395,205.9930,19.3049
ADORA2A,76.3260,69.6843,187.5320,78.3027,95.0159,62.8787,51.2668,83.8321,84.1371,94.4332,309.5350,65.5715,99.0690,149.8860,178.3730,133.8350,101.5500,42.9323,130.5925,223.2700,61.7859,61.7744,140.1620,55.5958,92.4384,435.8545,77.6361,77.8453,121.7880,103.8125
ADORA2B,36.3837,152.4920,34.7538,290.6820,94.7006,355.2475,242.8638,126.0725,403.8180,7.2481,39.2279,10.4876,58.1478,9.8571,202.2770,249.2770,39.2523,22.7146,125.3255,13.5405,22.4958,364.4069,123.7630,88.0361,91.2627,163.1240,12.2580,31.7784,65.1834,20.3533
AGRN,714.2860,10150.8000,4721.6300,7990.5900,13873.5500,4149.9788,8494.7885,5056.7850,10660.0000,4040.3450,10026.2000,14480.8000,3937.3500,3719.4100,8487.2900,6714.9500,16412.8000,11572.6959,8804.8500,2109.0400,3723.4900,3985.3442,2565.0300,7538.8600,5286.4673,1562.0700,10425.2000,10164.6392,8032.9500,7883.4400
AGRP,641.6490,0.3480,0.3276,0.2816,0.4849,0.0000,0.2121,0.8531,0.0000,1.0755,0.3757,0.5519,0.4508,0.4702,2.1141,0.5161,0.4550,0.5865,2.0377,16.0000,0.0000,0.0000,0.0000,0.2844,0.3277,0.3127,0.3446,0.1796,0.0000,0.0000
AGT,335.6240,44.3778,130.4130,10.5724,17470.2000,421.7600,71.5870,10124.6500,31.6535,35.1266,1766.8500,1896.2400,11803.6000,69297.0000,136.9270,28.8494,25.9116,16.8954,663.9835,441.6580,164.5060,464.7571,205.4990,56.3225,488.1881,15.2503,127.4440,46.4838,371.2720,246.9485
AGTR1,605.6070,7.5775,57.8662,1.6694,109.4460,2.7913,4.3078,14.4146,3.1018,36.1834,172.3350,12.3125,2.7269,802.5090,22.0683,9.5048,40.6391,5.7796,44.3852,83.1263,183.7620,4.8104,64.2105,2.5890,7.2250,14.6902,16.4271,1.3116,28.3764,0.4437
ALCAM,288.7320,1255.2200,3574.5100,1815.8300,3268.1100,1175.1578,1859.7828,1862.2950,1591.4650,2492.5950,1204.8200,1126.3500,4632.3450,2543.5400,4368.6000,3467.3400,1633.9800,1563.1200,2005.6200,5025.1100,4284.4300,1097.5956,1264.0300,387.3380,1120.4304,279.6260,3675.7200,1893.5304,811.2480,104.1525
ALK,3.5103,0.9111,2.5478,1.3068,0.5346,0.4296,0.8375,62.3920,1.6912,1.3245,2.5611,2.6541,77.9075,0.4345,4.3991,6.0157,9.5012,35.2082,3.9585,104.0610,1.5898,0.4869,2.6022,45.3304,1.0481,10.9362,32.6554,3.1146,13.5074,114.5385
AMH,37.3832,12.1283,7.4583,24.1278,23.2610,10.2803,7.5280,61.1290,4.0543,12.4581,3.3915,5.6594,92.5052,2.2901,3.4213,4.8928,7.2221,3.0511,11.9747,31.2527,6.4574,6.2656,37.4672,4.1014,8.3853,59.7056,2.9762,30.0280,29.2813,4.2669
AMHR2,1559.2700,0.0000,0.6384,0.2772,0.4915,0.0000,0.1674,0.0000,0.5129,0.0000,0.3545,0.5095,0.0000,0.0000,2.2786,0.5139,7.1642,5.0957,2.5883,3.0749,2.8664,0.0000,0.4970,0.0000,0.4410,19.6553,0.6072,0.4219,2.6619,0.0000
ANGPT1,89.0173,38.9568,48.9331,15.8284,33.1714,41.3363,76.1198,227.9540,35.1289,1544.3150,259.9180,25.6272,67.4973,58.0013,156.9260,105.0540,32.1221,38.1341,83.1532,161.9750,200.3150,44.5750,127.4760,38.0187,80.1917,222.7065,109.1260,22.0963,136.8960,3.4615
ANGPT2,491.9910,231.6690,231.3410,120.8830,174.8170,150.9420,150.2616,1005.2500,268.9265,340.7370,2284.1400,55.4355,129.4355,152.3340,198.2290,209.3310,91.0059,121.3119,227.4155,331.4510,97.9881,162.5485,364.8720,100.6740,138.0238,143.1715,243.3370,296.8256,371.1430,38.7300
ANGPTL1,66.1088,9.5015,32.6995,3.5587,54.8589,5.8159,11.2863,103.3145,10.4412,516.7645,28.7954,29.6933,76.4972,53.0863,29.9754,14.9254,91.6965,32.4123,115.0935,15.8007,52.3992,6.4329,203.7500,3.8835,25.2592,19.2591,282.2430,17.5123,104.1180,0.5575
ANGPTL2,1453.9500,627.9365,1201.0000,362.4360,484.2845,719.6843,765.7903,1862.0550,1079.4000,303.5620,1706.9300,294.5915,3795.0600,342.2000,996.8980,968.3650,980.6080,478.2925,1379.2750,1064.6000,634.7380,692.5055,4979.5500,624.1610,1200.0780,268.5420,451.7310,562.4408,1159.4400,400.0995
ANGPTL3,0.0000,0.6189,0.2732,0.4363,24.4778,0.0000,1.8160,0.0000,0.0000,1.3197,28.0979,2.9907,0.0000,7103.3600,0.4589,0.3418,0.3979,0.5812,1.7090,0.2718,2.9557,0.3634,0.3254,0.0000,1.6989,0.4938,0.3060,0.4677,0.4597,0.0000
ANGPTL4,187.9100,705.5635,172.0710,551.3030,831.6735,125.3378,169.7513,774.5980,685.8100,85.2142,15810.0000,239.1665,256.0340,2434.0900,533.6160,418.1340,598.8300,198.3737,829.4770,145.1700,169.3850,95.1354,548.5200,342.1970,121.2528,403.4270,840.7360,296.0264,512.5880,21.0099
ANGPTL7,0.0000,0.5278,0.7931,0.3261,0.0000,0.3253,0.3081,1.0322,1.1074,0.3489,0.4320,2.1684,0.9047,0.0000,0.8772,0.7120,6.1097,-0.2813,19.6112,71.0220,28.1309,0.3193,1.6456,69.2988,0.8079,0.5409,0.3499,0.3251,1.5601,20.6068
ANXA1,1416.5500,5201.5300,2161.8400,15426.0000,613.4540,1113.1049,11113.3057,6221.1300,26905.1500,912.1130,3694.0300,6497.0200,367.6640,523.0810,5518.3200,10360.9000,8605.6100,4971.2009,6229.1650,783.7690,2244.7900,993.3220,6860.0600,5413.1400,2621.6349,1182.4050,26749.2000,4428.6981,1314.8500,208.1710
APCDD1,313.9220,497.0655,312.2780,668.0390,1158.9450,814.0930,384.9084,1705.7950,1090.8000,146.2410,304.9060,43.0809,2403.9750,31.7034,273.7520,424.9690,157.5940,813.9427,961.7830,161.7980,1244.2700,1198.9175,607.1060,655.7300,322.0204,529.0455,189.2930,1478.3200,1141.1500,70.1794
APLN,188.9440,88.4686,129.0430,75.2246,69.8327,169.8525,114.1229,2520.3200,196.6100,464.0455,1957.9200,69.6418,909.0010,137.9520,181.5270,140.5890,195.7310,166.0130,46.7071,804.4030,155.4950,178.1436,516.7230,88.6840,125.1781,207.2705,59.3400,94.4365,259.3630,131.2255
APLNR,160.6940,230.9305,672.1530,104.9380,560.6250,335.8449,242.1366,2712.3000,226.9585,452.2740,1280.3900,34.5135,1852.0050,435.2260,233.6020,171.7380,467.1720,139.1347,772.9615,533.5840,71.2434,395.9620,453.5060,315.7040,591.2146,506.8090,886.6520,159.9144,186.8850,61.3344
APP,22372.0000,13991.9500,20524.2000,12431.9000,22831.1500,19570.4205,15938.1188,27918.5500,18681.7500,32193.3000,32137.1000,33294.9000,29867.3500,10298.4000,15073.9000,17133.7000,18638.9000,15362.4871,19432.2500,41381.3000,14798.2000,19524.9255,19308.6000,13368.8000,17066.6290,19448.5500,24234.2000,17429.6174,19753.7000,21908.3500
AREG,5.1746,123.0675,156.2880,117.8130,44.4590,908.1950,415.8602,7.4016,656.7805,13.8109,49.2035,20.3265,0.4754,5.9676,278.6740,164.7590,13.1376,22.7748,321.3485,20.1427,16.1369,1268.9605,10.7403,7.3945,310.6193,2.5039,27.0294,33.1874,14.9586,0.0000
ARTN,10.4046,61.7268,42.3442,84.0355,21.0008,30.3042,33.7326,13.2579,198.3855,46.7476,7.8240,7.9945,7.3444,5.1849,20.5788,260.6990,8.1610,57.7250,17.8892,7.2793,41.5301,31.5220,13.5189,4.8350,9.1202,18.9241,16.3947,93.4569,46.8571,0.5863
AVP,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4775,0.0000,0.0000,0.0000,0.0000
AVPR1A,7.5170,7.8880,26.9551,3.7071,2.9020,5.2138,15.8851,6.6113,13.7549,770.8925,53.0973,1.8308,3.8262,12.2344,7.4896,8.1147,13.3616,11.3050,22.6446,8.8745,16.9202,4.8676,17.8947,5.4895,22.1896,5.8079,18.0995,9.5189,12.5328,0.8864
AVPR1B,0.0000,0.0000,0.0000,0.0000,0.9957,0.0000,0.3055,0.0000,0.0000,0.0000,28.5285,7.4130,0.0000,0.0000,0.2706,0.0000,0.0000,3.7528,2.5532,0.0000,0.3612,0.0000,0.0000,0.0000,0.4789,0.6927,2.4953,3.0802,0.8501,0.0000
AVPR2,5.7299,6.7406,8.5219,6.0400,2.7488,5.4547,3.4658,0.5033,6.4473,22.0864,13.7753,2.7326,1.0271,3.4341,6.8740,3.5395,12.6659,12.6665,11.5144,12.2465,13.9516,4.7456,19.6544,14.0306,5.7628,10.3399,21.4844,7.5580,10.9157,9.0835
AXIN2,298.0270,102.0940,202.5450,67.3336,79.3477,3560.9183,189.6592,299.0260,87.4600,37.5489,53.5372,171.2080,506.7315,74.0331,323.4540,187.7010,419.9580,614.6330,425.8935,131.8420,559.1490,4074.9163,357.8540,127.1010,373.3681,1146.5750,284.8340,417.5738,469.5790,109.8575
AXL,257.6330,526.0000,1097.9900,583.9580,534.0270,425.1792,722.4692,1336.6400,923.8670,264.0555,2362.9200,1379.0700,1181.2150,229.7590,1053.4500,772.2580,1589.6500,782.5454,1699.9100,444.3970,672.6560,424.2351,3331.1700,352.7230,981.6196,489.0825,959.1530,397.0119,960.6630,329.9110
B2M,30171.1000,39698.8500,37886.6000,62347.2000,48562.2000,44006.8000,49704.4636,45254.0000,59119.7500,74915.8500,81858.0000,40113.1500,16957.6000,53236.8000,55429.3000,42650.5000,66182.5000,46221.5888,62921.5000,41891.1000,35162.2000,38334.2000,48419.2000,35180.9000,66039.3824,26114.1000,60450.4000,31340.5610,14271.4000,15482.3500
BAMBI,1161.5200,533.7790,1119.1900,150.0880,930.7650,263.2810,243.2813,259.3690,109.7970,289.3280,376.6070,1690.3900,299.0680,707.3910,228.7300,265.3250,422.7890,75.4356,345.2390,47.8978,345.6040,289.3930,170.7440,1883.6300,232.2650,1127.7500,23.6157,356.4959,597.0210,2276.8600
BAG6,5010.8000,5322.8050,4284.3700,4675.8900,6245.3650,4764.1801,4330.2003,3922.3700,4637.0800,3234.9150,4055.1200,5167.6000,4518.3650,6545.9400,5227.6300,4641.9500,4994.0400,5271.4152,4065.0850,4932.0200,5098.5800,5105.8678,4874.0700,8534.0700,3869.9661,6762.1400,5523.6600,5669.1133,7461.9100,12277.6000
BDKRB1,1.5925,28.7424,10.3402,78.7358,60.5955,32.1902,59.5278,2.2799,142.6790,141.3205,7.7861,2.3653,0.7401,10.9524,19.5759,34.0054,658.4850,6.5738,78.2700,11.9272,3.6986,34.2879,51.6899,5.2430,36.6486,7.7283,5.7430,8.8228,17.5747,0.9226
BDKRB2,37.5723,266.4870,245.5960,651.4810,373.0795,352.9371,629.3338,106.1480,940.4435,934.8625,234.7610,36.0654,15.3748,94.4792,292.9130,242.7480,251.8070,84.2752,606.7390,283.6100,75.6248,399.4863,375.0000,67.3357,393.0963,32.0538,204.8590,165.9640,123.9570,13.1154
BDNF,45.8161,14.4604,4.2669,17.7198,9.6458,12.7005,30.1159,23.1490,25.8744,9.7058,59.7254,31.0695,18.1126,3.2195,15.0436,43.7462,191.0500,20.3950,21.9268,46.1889,25.6748,14.7370,53.3643,17.3940,23.5678,28.9663,59.4172,23.6380,63.7001,4.7034
BMP10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BMP15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BMP2,54.4576,243.9760,23.1106,296.2590,558.0615,278.3420,425.5856,211.5625,547.1740,167.9880,427.0710,259.2620,1194.8250,227.4130,345.8120,234.7550,131.9850,18.1991,536.4440,31.5789,57.6040,268.4315,118.8630,18.7198,512.7764,57.4991,411.1810,60.6626,210.0400,17.9066
BMP3,0.4698,316.5480,1.0717,13.8603,1.1382,11.4162,6.2191,0.4582,1.8476,0.6094,2.8678,1.0205,1.4537,0.0000,272.6470,75.5920,11.6207,8.8878,15.6297,1.5519,20.9116,12.9563,0.5128,0.0000,12.5433,0.9661,1.9702,27.4808,31.5536,2.2039
BMP4,662.4280,116.9925,154.9090,55.5556,140.8385,1164.7100,155.0713,68.2812,89.1390,35.2049,184.4690,264.5790,121.9115,117.2830,221.7640,89.9268,1338.2600,116.5478,761.9840,43.5844,203.8460,1257.7717,185.0950,34.3092,474.2332,213.3085,137.1980,93.8287,284.3210,274.9790
BMP5,0.0000,3.0571,1.3822,0.0000,2.8637,11.8239,1.5164,0.5384,0.6081,0.4525,1.8600,0.0000,0.0000,1.0924,98.8713,17.5171,0.4100,-0.0856,16.3938,0.5230,1.8741,16.0811,0.4517,0.0000,2.7472,0.6021,0.8830,0.0643,54.9828,2.2566
BMP6,97.1445,54.5807,54.0099,35.4848,122.6400,37.8757,65.6882,48.7032,52.9220,54.8065,179.6310,115.5925,88.1268,37.4981,99.4738,83.0651,68.6330,84.8366,69.0352,90.0052,129.0270,36.9290,81.8572,42.9730,80.7511,97.0758,64.8284,71.2420,102.8060,13.8089
BMP7,1.7567,150.5680,80.3375,869.9620,11.2690,436.0003,729.7490,1987.5650,968.6775,5.0064,1.7264,44.1791,2821.8750,0.5696,41.1757,1679.3100,11.7378,1116.0264,121.3505,4399.3200,202.7530,674.9280,37.6481,50.3188,120.6965,332.7925,2680.9600,224.7950,1750.0000,12.8909
BMP8A,39.9797,110.8005,230.3280,111.1770,168.4920,220.6299,247.0533,131.3990,122.3330,44.5773,127.8250,58.2638,131.5190,33.5923,205.0450,178.6550,64.2425,124.2802,612.9810,162.5830,220.7960,216.1837,73.4662,113.7090,328.0068,212.0960,183.7310,126.8625,64.3137,18.2809
BMP8B,6.4804,100.5175,64.5428,121.7850,141.0415,150.0493,103.5453,96.6380,66.7535,3.9421,68.4411,68.8001,92.7731,15.6102,92.3510,80.2394,21.3144,58.2061,123.4280,325.6000,49.2584,145.6021,20.4721,229.4370,108.8846,18.7850,90.8632,46.6892,36.8217,17.1341
BMPR1A,425.1050,392.5815,577.6610,390.4370,492.8915,460.2963,593.2528,504.2205,350.2465,264.1920,450.4800,404.0815,728.5765,251.1880,450.8010,464.6120,601.9590,717.1533,438.2020,477.6930,765.5170,486.1564,528.6950,332.4700,564.6308,585.7225,803.5160,641.7919,734.3320,279.2800
BMPR1B,67.4300,10.4205,314.9510,53.2965,13.2663,6.0337,64.4530,584.9820,114.5410,2842.6400,11.5808,4.7415,919.7445,2.4752,76.1167,58.1454,39.2523,458.0836,110.7880,1210.5400,2884.3100,6.6947,73.1325,114.9960,30.8272,46.9455,2.4722,681.6493,279.3650,44.0613
BMPR2,1596.6100,1599.4800,2630.8400,1376.5300,1606.3200,1360.0384,2602.1437,1738.4300,1891.5050,1609.7050,3185.3100,1693.4850,2815.9700,934.1120,2135.4700,1758.2900,2312.9300,1783.6123,2657.4850,2628.2000,2213.8600,1420.4873,1994.7400,1679.9000,2353.7133,1390.9200,2330.3800,1816.9223,1902.9000,928.7140
BOC,89.0547,117.9930,340.5320,122.3910,59.8673,95.6938,164.6767,830.6940,253.2445,142.7985,401.0320,185.7050,815.3935,42.6078,124.5080,194.2930,495.5130,1030.7041,787.6795,228.4350,731.6230,101.5175,1062.6600,325.3920,189.2782,251.6415,940.0500,443.5000,2214.4300,622.3640
BTC,1.4514,15.9086,11.6462,10.8878,23.5536,44.6269,18.8143,1.4102,4.0701,49.6740,10.9223,20.3625,3.9482,2.9691,38.9539,18.0079,3.2310,49.7960,24.4275,6.3358,35.7654,43.9588,2.1265,0.3883,29.6966,0.7103,57.4163,25.2089,4.9210,1.1933
BTLA,2.8184,4.8147,11.4548,8.8816,3.8880,6.7006,6.6197,2.9955,9.1244,3.4796,14.2498,6.0918,2.0808,4.1732,24.3013,14.8123,10.0091,9.5187,13.0873,1.7778,4.6083,5.3476,5.6825,4.2718,12.0253,70.4061,5.5556,6.6605,2.7579,0.4973
VSIR,851.6500,999.3110,479.5320,1069.9400,911.5030,655.9300,722.0457,1431.5650,1677.8100,368.9180,1797.7800,872.5720,1770.5250,550.5300,963.7790,917.1450,4904.0400,729.5936,1630.9700,513.3850,537.5090,624.4385,1619.5700,361.2110,962.5115,736.3010,1044.1800,464.8877,551.1450,204.7170
DRAXIN,0.0000,2.3849,3.1192,3.0020,0.9594,1.3369,1.8499,80.5704,3.3752,53.0097,0.7554,0.4363,25.6763,0.3252,1.6764,2.5484,1.8431,2.8605,3.1872,0.0000,2.0750,1.5285,4.3884,2.2661,1.6571,46.8991,10.0883,5.1699,11.5476,0.8310
C3,6715.9900,2949.9200,7743.2200,3127.6800,102794.0000,1824.0675,3120.0169,16214.9000,2908.1700,1096.9750,28122.6000,17306.7000,6921.7050,268295.0000,16971.8000,6356.7000,127470.0000,27315.0837,26469.3000,693.6780,1930.2200,1510.5341,1479.3300,595.9750,9966.3661,2145.8900,6513.4400,8813.5316,827.7060,311.2165
C3AR1,97.2516,104.0495,320.6270,132.7360,149.9535,136.5304,126.8266,794.9870,166.4275,106.1350,513.5750,273.7995,444.3855,128.5880,428.6590,262.6300,502.1810,307.3972,335.9545,121.6220,109.5472,124.4606,446.7340,119.4750,267.6518,206.8630,135.7560,98.9955,121.1900,67.3940
C4A,19243.1000,971.2320,19680.8000,1173.4200,19012.2000,1161.3200,1488.7073,3610.0900,670.5220,360.6525,33247.9000,23866.3000,7857.3100,135088.0000,5964.7600,2178.2500,41631.3000,5223.1855,6713.0600,635.8540,6667.3800,1097.7016,2055.9000,421.5310,3030.7190,914.7695,28728.2000,3360.1535,2367.4800,1406.6100
C5,85.5358,48.0773,133.8970,130.7190,2620.5250,59.4768,134.7791,170.1290,58.8660,25.0489,76.1214,73.1169,176.9845,12063.1000,290.6920,107.9320,111.6340,50.7334,82.5871,167.7040,167.6470,54.4420,157.2360,55.7080,92.6452,74.2081,98.5879,51.1432,67.4879,25.8388
C5AR1,99.4220,139.8395,203.2970,151.8980,213.1775,146.4305,156.6854,441.7125,192.8060,184.6720,399.4290,267.1070,108.4620,139.6560,395.2440,314.2890,387.9870,196.7914,403.2125,126.4030,95.6432,129.7725,352.8930,79.0889,248.0458,145.4080,103.7410,134.7771,137.0900,31.6200
CADM1,740.6780,175.7005,699.7670,98.9946,750.5590,81.1180,158.7613,2617.2700,195.5870,229.5185,660.2880,575.1925,2108.6650,2148.6700,1446.3600,496.2610,567.8510,1532.6909,605.8105,3745.8800,1508.3000,95.4335,465.4660,696.4390,239.3211,413.0840,4231.2600,1633.4477,1681.5300,248.4385
CADM3,4.1379,6.2066,30.0157,6.0976,14.8812,6.3988,6.6808,1885.1900,44.9758,2.7412,94.3290,64.2697,3800.8050,2.5355,45.8424,30.0802,945.0650,107.9893,84.9276,765.2010,38.4934,7.4408,93.5748,30.1932,20.6989,155.0230,73.0008,9.8288,33.0745,14.7632
CALCA,0.0000,0.0000,0.0000,0.0000,3.1686,3.0992,-0.1523,0.0000,0.0000,257.3575,0.0000,0.0000,0.0000,3.4341,2.3408,0.6452,0.0000,-0.1523,0.9801,4.7834,15.0644,5.0239,0.8903,0.0000,-0.1523,1.0274,1.7732,1.4613,5.8140,0.0000
CALCB,0.0000,0.3663,0.0000,0.0000,1.0090,0.0000,0.9837,1.5224,0.0000,3.6934,0.2768,0.4216,1.0084,0.5764,0.2738,0.8614,0.0000,0.9677,1.1450,4.0050,0.8231,0.2428,0.4318,0.0000,0.5229,5.9459,6.8820,1.6113,21.0484,0.0000
CALCR,0.8912,1.3097,3.2957,0.8049,0.5009,0.8595,2.2883,2.0482,1.5299,4.5880,38.5448,3.2811,1.9033,0.8347,4.9218,2.2930,2.6547,1.8402,2.1474,3.3223,0.5895,0.6919,3.5660,2.1304,1.8821,4.5954,1.5170,0.8051,2.8090,0.7689
CALCRL,280.9260,185.1530,512.2390,132.6530,382.7560,226.1940,465.2809,814.3995,335.3645,381.5430,2277.0500,242.3965,2385.1300,364.6470,521.4970,495.6960,203.0930,173.8000,586.9490,559.6450,287.9120,229.2635,386.2760,85.9141,504.1137,140.2145,869.0960,247.5162,244.3760,22.3871
CAP1,3106.0100,7473.4800,7159.4100,6531.6400,6276.2750,7989.3700,7954.2598,6031.3750,9443.4250,3102.1850,6994.9700,5538.0000,4193.1350,4091.9100,7547.4100,6641.0600,6953.3500,6611.9879,9021.4400,3647.6600,4358.4900,7320.7562,7894.3400,8099.7500,7520.1542,6846.5200,6268.6800,4636.1632,4495.7800,4552.0700
ACKR2,9.0822,48.2366,35.3805,30.2385,17.0064,13.1492,21.4178,25.4503,37.7555,35.3839,14.1408,34.5093,31.8652,228.8200,37.1230,18.4075,115.5570,113.2592,39.5394,12.2881,24.6227,14.0515,13.1217,11.9314,24.3313,21.1823,15.4928,112.9945,28.5177,9.4433
CCK,0.0000,2.0314,0.0000,1.9854,0.0000,0.4229,1.2453,63.4521,0.9940,0.0000,0.0000,0.0000,129.5620,0.0000,0.6380,0.4394,0.5758,0.4497,17.4238,1.5966,34.3980,0.3742,0.3791,0.0000,4.7341,1.7430,0.2436,0.5855,5.5228,0.0000
CCKAR,0.0000,0.0000,0.3137,0.0000,0.0000,0.0000,-0.0788,1.2707,0.5960,8.2757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0788,0.3518,0.0000,0.3171,0.0000,0.0000,0.0000,0.6498,0.0000,0.0000,0.0000,1.2136,0.0000
CCKBR,0.9187,0.0000,0.3925,0.0000,0.0000,0.0000,-0.0192,7.3030,0.0000,0.0000,0.4331,3.3951,20.2782,0.0000,0.3885,0.6480,6.3264,8.3848,7.3369,0.0000,3.6338,0.0000,0.7713,0.3476,1.6518,18.9498,7.7941,6.6538,14.8579,0.3826
