gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,UCEC,UCS,UVM
FGF4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6300,0.9387,0.0000,0.0000,0.0000,0.0000
FGF5,0.0000,1.4626,1.1998,0.6947,0.1852,1.4865,3.4059,0.7280,3.4395,0.0000,1.0188,0.0000,1.7916,0.0000,0.6628,1.3649,6.3334,0.3290,7.0372,0.0000,0.6211,1.4821,2.9696,1.6565,2.3205,0.0000,0.0000,1.1404,6.1792,0.0000
FGF6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FGF7,43.0945,81.0297,140.1750,35.0475,39.7490,74.1069,90.9457,12.6965,44.8785,1105.8250,42.1960,19.6230,31.4988,21.4190,180.2600,120.7220,656.7310,41.4054,197.4695,62.0732,136.6790,70.2310,865.9920,28.7602,252.3543,37.9991,72.3284,32.8164,46.2619,6.0421
FGF8,0.0000,0.4834,0.0000,0.4748,0.0000,0.3457,0.5466,0.4849,0.3944,0.0000,0.0000,0.0000,1.4552,0.0000,0.5397,0.8384,0.0000,0.1674,0.0000,0.0000,0.0000,0.1052,0.0000,0.0000,0.6581,11.9612,0.0000,0.6862,11.2688,0.0000
FGF9,224.4530,2.0810,2.4666,2.6042,1.7965,6.4713,4.9423,17.6428,2.2814,2233.2950,1.6519,13.6280,68.1350,0.0000,19.1796,4.3749,778.1680,48.3054,20.2204,27.0552,3.5386,9.0471,3.3784,0.4511,15.1349,18.6886,9.8218,92.5323,101.1710,270.3840
FGFR1,2429.4400,451.2825,1935.4600,374.7880,2088.7050,423.8200,557.3015,2208.9650,573.8575,3048.7400,1869.8900,1833.7600,1472.8800,190.0760,933.7140,1079.1300,4375.2100,2861.6747,2278.0200,4571.4900,1327.1600,452.7430,6628.6300,1321.9100,713.7080,5843.4450,870.3220,3096.9400,6206.2100,980.4260
FGFR2,314.5730,513.8565,664.2750,608.4800,3954.5300,194.0326,725.6510,725.7335,767.2475,618.2010,677.1730,604.5765,1270.8100,885.7930,360.9930,1667.9700,449.0830,1343.9990,615.5545,75.0280,500.1770,161.2990,391.7230,15.9718,687.3269,1346.1400,1176.1400,1383.4300,833.0730,115.7185
FGFR3,19.8322,2794.0500,311.1730,2391.6600,4725.4600,483.8063,1537.1521,1103.0350,3046.2550,8.1186,549.7110,676.8905,1643.1400,1319.7600,401.4150,1897.7000,52.4892,146.1169,852.8980,17.1457,497.9303,563.3461,46.4225,86.0250,457.5585,4006.8500,99.8901,206.8632,481.8340,172.4290
FGFR4,1307.8700,44.7315,120.6980,95.1134,6060.7450,2189.6809,313.2413,25.5215,96.7365,9.5358,1020.4900,2295.7250,25.5662,4737.2800,177.5810,129.4990,19.4343,137.2089,1005.6950,9.9933,40.2134,2638.7850,26.4987,80.5283,1113.7685,977.1400,9.8879,316.5348,905.2340,100.3975
VEGFD,47.8228,5.8926,5.0895,2.7267,7.6526,1.1635,4.9631,4.5749,3.2832,2.9312,9.3168,10.4006,3.8191,17.6298,33.5722,14.7085,4.7066,1.7862,6.1558,19.3779,3.6406,1.4894,22.1741,11.6543,5.3476,3.0161,1.4345,2.7462,10.1133,9.2795
FLT1,1432.5700,629.1680,926.8500,380.5130,799.9420,526.1157,804.5265,768.8570,621.9665,1948.9350,11788.4000,359.0590,948.6540,853.5710,1073.2900,792.8800,356.3310,359.6941,1273.9850,2125.0500,689.7570,541.2178,1164.5500,287.7840,964.3849,349.3735,2625.2500,748.9212,786.3870,146.4635
FLT3,1.6736,2.9726,44.8425,4.8894,5.5049,3.0156,5.0495,2.0706,10.0377,0.5451,23.7724,11.0229,6.4230,4.2849,14.0351,6.7289,37.7860,3.6915,41.5577,1.7502,6.0359,2.9371,5.5659,2.9060,9.8953,20.0278,3.1404,2.5240,1.8467,0.5341
FLT3LG,122.3050,143.8325,86.3870,186.2600,97.1113,56.6735,67.4142,140.3470,139.3475,78.8234,117.8800,118.9500,96.8321,102.0780,100.5750,96.6416,136.8510,81.5626,138.1810,137.9140,85.4560,55.4056,226.8540,57.9920,90.4104,98.9458,114.5870,79.5695,80.1006,73.4037
FLT4,364.5530,147.4500,228.8170,65.3026,310.7780,101.4756,164.8824,271.8735,136.5590,656.7565,1592.9200,115.1740,141.4670,326.5600,324.7020,191.7590,167.2450,152.6064,285.6790,686.0840,140.1350,121.1955,414.4830,82.9741,224.0241,332.5100,586.5680,154.2667,231.9370,112.1900
FMOD,65.6024,499.8665,1948.9000,361.3360,812.0090,1126.8732,795.8676,1162.1700,998.4555,37.6512,426.8870,399.7280,53.7266,191.2410,1379.4400,1056.4800,3519.7300,2315.7181,2508.2150,192.8060,3943.9200,1168.3724,1554.2500,331.5060,1889.6413,470.0065,1286.1300,1386.3034,2291.2400,1348.5400
FN1,5454.5500,21565.1500,75838.2000,4780.8900,38694.2500,10817.6078,19368.7056,24194.3000,20826.0500,6736.7200,30729.9000,4303.2600,5129.6950,106944.0000,47372.9000,32613.5000,56184.1000,16389.4563,64445.5500,8086.5200,6432.1700,10803.8500,104573.0000,39904.2000,25038.5292,14114.0500,216499.0000,4925.9316,23892.1000,1763.3700
FOS,1355.5900,4737.8250,2337.0300,4132.4100,1645.9250,4046.2475,5954.4598,4176.1700,6500.6900,1151.4500,5092.4000,1494.6950,2680.6400,910.2830,4150.5500,2720.5800,4225.3600,4006.8583,7939.8500,8490.5300,8326.3800,3858.5385,1485.0900,1878.0000,5513.8959,788.4350,9757.4300,2359.7562,1990.0500,1117.8750
FPR1,18.8452,59.0734,90.9438,61.3647,94.1948,68.9758,49.6857,837.5340,97.7135,38.6585,203.7140,93.6251,211.7355,25.2676,215.6720,170.9420,282.7810,117.7167,271.4760,48.4821,34.6870,63.5528,144.2250,48.8506,91.3570,75.0668,63.7747,35.1448,52.9532,10.2117
FPR2,0.9100,7.2021,3.2830,6.8120,5.1673,14.0452,15.9373,21.8372,13.9948,3.4975,16.9429,4.0347,2.6842,2.1860,33.9512,26.0712,17.8571,9.9845,23.8268,3.1717,1.8741,11.0303,9.6251,3.8848,22.1203,14.2770,2.7897,3.2925,4.2155,0.3956
FPR3,75.4083,154.1300,458.7690,178.8580,176.5450,232.6223,170.4776,214.5275,305.2070,81.9691,707.1730,158.6855,52.4044,140.8060,620.2920,401.0240,426.8710,333.3134,358.7310,94.4689,96.6992,220.5685,368.4190,140.7480,368.3890,401.4055,131.2330,105.8146,132.6110,65.1067
FRAS1,12.4944,191.1340,72.2850,140.9340,2087.7550,77.6057,321.5503,20.6648,118.4860,47.7652,804.7960,993.6865,47.0622,19.9695,195.6930,489.1970,2250.8500,432.0621,626.6045,358.2090,457.0570,69.9780,286.2070,94.1645,307.5783,500.8295,500.2120,686.7421,956.7470,6.5093
FREM1,9.2050,19.2557,28.3861,7.6661,8.5159,122.2420,9.1577,60.0484,9.1313,641.3925,19.5272,91.2468,73.4654,2.0235,28.4717,26.6008,10.9274,22.1610,117.9915,10.0045,30.0654,87.9464,55.3825,13.6869,24.6664,29.0470,2.5530,80.4829,202.3960,1.1170
FREM2,0.8669,24.6856,22.7108,1.5649,213.0485,47.1218,56.3330,427.8165,11.5475,15.9939,472.1620,910.7490,127.3520,2.9691,232.2180,200.6110,1.7778,10.9258,189.0845,5.5710,124.7520,70.7541,2.1846,85.1136,49.9921,142.6155,482.5370,336.1905,648.2440,3.8081
FRZB,100.1940,124.3015,290.0840,79.7954,230.6380,192.8590,104.7014,494.9255,43.6332,104.1650,1549.0300,110.1490,179.0030,152.8910,268.2790,120.9500,72.5970,252.9521,636.1155,462.9170,293.9080,235.0596,104.4660,38.1503,344.9511,324.6475,258.8660,191.6385,507.6080,175.3075
FSHB,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FSHR,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2481,0.0000,0.0000,0.0000,0.0000,3.6662,0.0000,0.0000,0.0000,0.0000,0.5364,-0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2481,0.4855,0.0000,0.0000,0.0000,0.0000
FST,53.4469,115.0460,111.2940,99.0377,70.9769,10.9715,157.3785,28.9410,989.8145,9.8756,8.8139,0.6998,11.1611,1328.3600,22.9065,478.3890,67.6507,75.0407,49.8721,8.4477,60.8964,9.7333,211.0200,45.8304,29.7296,30.3409,5.4264,8.1924,144.0940,1.6405
FZD10,10.2484,43.7119,25.8590,260.5100,21.6022,13.1966,200.8150,15.3892,296.8560,8.3954,9.4023,1.3838,12.5377,2.8314,15.3969,263.5540,10.1109,266.9230,29.2655,18.0648,71.5920,14.5967,9.9288,8.4416,24.8041,252.5715,17.7643,424.4194,119.8930,6.3178
FZD1,344.4850,467.6025,1164.9300,582.7940,774.2760,341.4185,695.9910,585.2930,787.2850,313.3065,3435.1200,4514.6100,268.5305,135.0360,878.0370,962.1900,1617.7600,511.0101,925.3490,210.6370,920.3060,341.3864,1561.0500,547.0960,547.1160,261.9610,4341.6300,583.2742,1416.6700,323.7580
FZD2,159.8680,198.6810,136.4410,124.7870,57.3722,64.9275,81.9349,155.6655,137.4165,114.3745,51.2680,129.1715,55.9811,17.8042,154.2530,168.3060,405.2520,239.7584,179.7280,19.0921,47.7674,66.0138,329.9970,89.2857,96.3068,100.0898,110.8730,479.3743,1140.9500,21.2557
