receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
FZD3,LUAD,Lung,49.6,30.75,18.85,0.8,18.06,enriched,98.16,1.019,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,54.71,0.8319,0.9586,0.5493,2.619890767261794e-11,enriched,enriched (both methods agree),enriched
FZD4,LUAD,Lung,72.66,87.67,-15.01,0.8,-15.81,depleted,597.27,72.9019,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2131.88,-1.8339,-1.7072,-0.8654,5.440692285183376e-26,depleted,depleted (both methods agree),depleted
FZD5,LUAD,Lung,76.79,59.61,17.19,0.8,16.39,enriched,807.05,11.4721,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1559.69,-0.9497,-0.823,-0.6406,6.8892769990978235e-15,depleted,discordant,enriched
FZD6,LUAD,Lung,80.13,68.89,11.24,0.8,10.44,enriched,1017.19,21.6729,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1364.05,-0.4229,-0.2962,-0.4311,1.773712311991567e-07,comparable,enriched/comparable (partial),enriched
FZD7,LUAD,Lung,64.32,58.59,5.73,0.8,4.93,comparable,327.93,10.9073,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,483.87,-0.5598,-0.4331,-0.4828,4.790597692211707e-09,comparable,comparable (both methods agree),comparable
FZD8,LUAD,Lung,60.33,55.55,4.79,0.8,3.99,comparable,241.95,8.2869,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,374.75,-0.6291,-0.5024,-0.4803,5.715029976128375e-09,depleted,comparable/depleted (partial),comparable
FZD9,LUAD,Lung,32.12,21.61,10.51,0.8,9.72,comparable,11.94,0.2914,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,6.03,0.8793,1.006,0.2282,0.0066842275482849765,enriched,comparable/enriched (partial),comparable
HAVCR2,LUAD,Lung,69.62,72.3,-2.68,0.8,-3.48,comparable,468.78,25.8989,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,836.52,-0.8341,-0.7074,-0.518,3.3184226636924915e-10,depleted,comparable/depleted (partial),comparable
IGF1R,LUAD,Lung,84.92,67.51,17.4,0.8,16.61,enriched,1421.33,19.8971,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1679.58,-0.2407,-0.114,-0.1115,0.19820764607530741,comparable,enriched/comparable (partial),enriched
IGF2R,LUAD,Lung,93.84,77.37,16.46,0.8,15.66,enriched,4101.26,36.2348,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,5334.28,-0.3791,-0.2524,-0.3492,2.6534297495965983e-05,comparable,enriched/comparable (partial),enriched
IL17RB,LUAD,Lung,51.49,56.64,-5.15,0.8,-5.95,comparable,117.06,8.8505,False,good,0.1853,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,106.1,0.1406,0.2673,0.0095,0.9181498767955644,comparable,comparable (both methods agree),comparable
IL6ST,LUAD,Lung,78.17,91.15,-12.98,0.8,-13.78,depleted,876.52,116.885,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1744.35,-0.992,-0.8653,-0.6178,6.134505448589224e-14,depleted,depleted (both methods agree),depleted
ITGA4,LUAD,Lung,69.54,57.87,11.68,0.8,10.88,enriched,467.17,10.2868,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,731.69,-0.6462,-0.5195,-0.4087,7.730849847174815e-07,depleted,discordant,enriched
ITGA6,LUAD,Lung,81.65,79.99,1.67,0.8,0.87,comparable,1131.73,40.8366,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2102.74,-0.8932,-0.7665,-0.544,4.047883386769129e-11,depleted,comparable/depleted (partial),comparable
ITGAV,LUAD,Lung,92.6,82.09,10.51,0.8,9.72,comparable,3588.4,46.6061,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,2312.83,0.6335,0.7602,0.531,1.1654229946388173e-10,enriched,comparable/enriched (partial),comparable
