receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
ACKR1,ACC,Adrenal_Gland,47.43,67.3,-19.87,1.52,-21.39,depleted,25.67,7.5157,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ACVR1,ACC,Adrenal_Gland,74.91,70.27,4.64,1.52,3.12,comparable,434.44,9.4633,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ACVR1B,ACC,Adrenal_Gland,86.0,69.83,16.17,1.52,14.65,enriched,1214.63,9.2694,True,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ACVR2A,ACC,Adrenal_Gland,66.35,56.64,9.72,1.52,8.19,comparable,230.92,3.2623,False,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ACVR2B,ACC,Adrenal_Gland,71.94,60.77,11.17,1.52,9.64,comparable,359.58,4.8029,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
AGTR1,ACC,Adrenal_Gland,77.3,86.87,-9.57,1.52,-11.09,depleted,605.61,33.7001,True,good,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
AXL,ACC,Adrenal_Gland,67.51,80.35,-12.84,1.52,-14.36,depleted,257.63,20.1958,False,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
BMPR1A,ACC,Adrenal_Gland,74.55,60.41,14.14,1.52,12.62,enriched,425.11,4.6956,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
BMPR1B,ACC,Adrenal_Gland,54.89,44.74,10.15,1.52,8.63,comparable,67.43,1.0428,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
BMPR2,ACC,Adrenal_Gland,89.05,81.36,7.69,1.52,6.16,comparable,1596.61,21.8752,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
CCR1,ACC,Adrenal_Gland,50.98,62.51,-11.53,1.52,-13.05,depleted,41.12,5.464,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
CCR5,ACC,Adrenal_Gland,43.15,42.06,1.09,1.52,-0.44,comparable,13.08,0.8275,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
CD4,ACC,Adrenal_Gland,67.8,71.43,-3.63,1.52,-5.15,comparable,259.12,10.5734,False,good,0.4296,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
CD44,ACC,Adrenal_Gland,80.93,70.12,10.8,1.52,9.28,comparable,793.18,9.3363,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
CX3CR1,ACC,Adrenal_Gland,48.01,37.85,10.15,1.52,8.63,comparable,29.03,0.5614,False,good,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
EGFR,ACC,Adrenal_Gland,65.12,76.94,-11.82,1.52,-13.34,depleted,195.89,14.6419,False,good,0.2873,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ERBB2,ACC,Adrenal_Gland,63.67,63.02,0.65,1.52,-0.87,comparable,171.01,5.6751,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ERBB3,ACC,Adrenal_Gland,41.7,38.07,3.63,1.52,2.1,comparable,10.8,0.5756,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ERBB4,ACC,Adrenal_Gland,24.95,16.1,8.85,1.52,7.32,comparable,0.94,0.0343,False,good,0.8766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
F2R,ACC,Adrenal_Gland,78.68,77.45,1.23,1.52,-0.29,comparable,662.55,15.5493,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
F2RL1,ACC,Adrenal_Gland,48.59,47.28,1.31,1.52,-0.22,comparable,30.9,1.3751,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
F2RL2,ACC,Adrenal_Gland,39.45,33.5,5.95,1.52,4.42,comparable,8.12,0.3518,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
F2RL3,ACC,Adrenal_Gland,55.26,48.66,6.6,1.52,5.08,comparable,70.29,1.5453,False,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FGFR1,ACC,Adrenal_Gland,92.89,69.62,23.28,1.52,21.75,enriched,2429.44,9.1186,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
FGFR2,ACC,Adrenal_Gland,69.91,75.78,-5.87,1.52,-7.4,comparable,314.57,13.6985,False,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FGFR3,ACC,Adrenal_Gland,45.69,50.33,-4.64,1.52,-6.16,comparable,19.83,1.8404,False,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FGFR4,ACC,Adrenal_Gland,87.02,76.14,10.88,1.52,9.35,comparable,1307.87,13.751,True,good,0.2509,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FLT1,ACC,Adrenal_Gland,87.89,61.78,26.11,1.52,24.58,enriched,1432.57,5.1935,True,good,0.1691,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
FZD1,ACC,Adrenal_Gland,71.65,63.09,8.56,1.52,7.03,comparable,344.49,5.678,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD10,ACC,Adrenal_Gland,41.3,27.12,14.18,1.52,12.65,enriched,10.25,0.169,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
FZD2,ACC,Adrenal_Gland,62.65,52.14,10.51,1.52,8.99,comparable,159.87,2.2017,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD3,ACC,Adrenal_Gland,61.13,49.82,11.31,1.52,9.79,comparable,134.53,1.7965,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD4,ACC,Adrenal_Gland,81.87,75.71,6.16,1.52,4.64,comparable,863.54,13.6054,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FZD5,ACC,Adrenal_Gland,67.15,67.59,-0.44,1.52,-1.96,comparable,244.72,7.668,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD6,ACC,Adrenal_Gland,77.45,76.5,0.94,1.52,-0.58,comparable,614.42,14.0616,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
FZD7,ACC,Adrenal_Gland,62.44,52.94,9.5,1.52,7.98,comparable,152.3,2.35,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD8,ACC,Adrenal_Gland,57.72,51.78,5.95,1.52,4.42,comparable,90.2,2.1366,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
FZD9,ACC,Adrenal_Gland,54.24,36.48,17.77,1.52,16.24,enriched,61.84,0.4865,False,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
HAVCR2,ACC,Adrenal_Gland,61.42,64.54,-3.12,1.52,-4.64,comparable,136.71,6.4541,False,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
IGF1R,ACC,Adrenal_Gland,86.73,77.23,9.5,1.52,7.98,comparable,1271.98,15.329,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
IGF2R,ACC,Adrenal_Gland,95.21,82.23,12.98,1.52,11.46,enriched,3708.47,23.3795,True,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
IL17RB,ACC,Adrenal_Gland,44.53,55.69,-11.17,1.52,-12.69,depleted,17.09,3.005,False,good,0.1853,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
IL6ST,ACC,Adrenal_Gland,66.06,93.11,-27.05,1.52,-28.57,depleted,222.16,64.8845,False,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ITGA4,ACC,Adrenal_Gland,51.56,41.04,10.51,1.52,8.99,comparable,44.76,0.7665,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ITGA6,ACC,Adrenal_Gland,74.33,58.23,16.1,1.52,14.58,enriched,414.97,3.899,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ITGAV,ACC,Adrenal_Gland,90.21,87.16,3.05,1.52,1.52,comparable,1801.22,34.2392,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ITGB1,ACC,Adrenal_Gland,97.61,93.18,4.42,1.52,2.9,comparable,7518.24,65.195,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ITGB3,ACC,Adrenal_Gland,44.96,38.36,6.6,1.52,5.08,comparable,18.3,0.5862,False,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ITGB4,ACC,Adrenal_Gland,53.01,52.07,0.94,1.52,-0.58,comparable,53.29,2.1976,False,good,0.6095,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ITGB5,ACC,Adrenal_Gland,87.53,86.44,1.09,1.52,-0.44,comparable,1396.63,32.6503,True,good,1.0492,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LIFR,ACC,Adrenal_Gland,76.36,73.46,2.9,1.52,1.38,comparable,525.66,12.2056,True,good,0.5246,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LRP1,ACC,Adrenal_Gland,91.15,85.71,5.44,1.52,3.92,comparable,1989.43,30.3155,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LRP5,ACC,Adrenal_Gland,84.7,86.15,-1.45,1.52,-2.97,comparable,1124.86,31.5305,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
LRP6,ACC,Adrenal_Gland,81.29,62.29,19.0,1.52,17.48,enriched,808.67,5.4024,True,good,2.323,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
MERTK,ACC,Adrenal_Gland,85.57,92.02,-6.45,1.52,-7.98,comparable,1168.57,52.4301,True,good,0.1195,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NCL,ACC,Adrenal_Gland,98.04,97.97,0.07,1.52,-1.45,comparable,9171.16,177.633,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NPR1,ACC,Adrenal_Gland,69.47,76.43,-6.96,1.52,-8.48,comparable,302.54,14.0193,False,good,3.0542,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
NRP1,ACC,Adrenal_Gland,91.3,76.21,15.08,1.52,13.56,enriched,2015.85,13.8836,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
NRP2,ACC,Adrenal_Gland,79.84,78.03,1.81,1.52,0.29,comparable,731.18,16.1679,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
NTRK1,ACC,Adrenal_Gland,23.17,40.54,-17.37,1.52,-18.89,depleted,0.76,0.7377,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
NTRK2,ACC,Adrenal_Gland,43.29,36.62,6.67,1.52,5.15,comparable,13.41,0.4931,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
NTRK3,ACC,Adrenal_Gland,34.95,37.56,-2.61,1.52,-4.13,comparable,4.33,0.5467,False,good,0.3758,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
PARD3,ACC,Adrenal_Gland,76.14,78.17,-2.03,1.52,-3.55,comparable,512.4,16.3046,True,good,0.58,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PDGFRB,ACC,Adrenal_Gland,85.86,86.51,-0.65,1.52,-2.18,comparable,1197.68,32.6843,True,good,0.2297,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA1,ACC,Adrenal_Gland,86.22,72.15,14.07,1.52,12.55,enriched,1234.97,10.9469,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
PLXNA2,ACC,Adrenal_Gland,68.31,48.01,20.3,1.52,18.78,enriched,265.57,1.4781,False,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
PLXNA3,ACC,Adrenal_Gland,78.75,73.17,5.58,1.52,4.06,comparable,666.15,11.9197,True,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
PLXNA4,ACC,Adrenal_Gland,50.4,37.13,13.27,1.52,11.75,enriched,38.92,0.5226,False,good,0.2718,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,enriched (GTEx rank only),enriched
PTPRC,ACC,Adrenal_Gland,56.35,57.58,-1.23,1.52,-2.76,comparable,76.97,3.5756,False,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
PTPRZ1,ACC,Adrenal_Gland,34.59,30.38,4.21,1.52,2.68,comparable,4.16,0.2665,False,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
SDC1,ACC,Adrenal_Gland,93.18,80.57,12.62,1.52,11.09,enriched,2672.57,20.4494,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
SDC2,ACC,Adrenal_Gland,85.71,66.5,19.22,1.52,17.69,enriched,1181.64,7.309,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
SDC3,ACC,Adrenal_Gland,97.97,97.32,0.65,1.52,-0.87,comparable,8979.26,131.158,True,good,0.7548,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SDC4,ACC,Adrenal_Gland,95.65,95.36,0.29,1.52,-1.23,comparable,3940.8,87.6836,True,good,0.8845,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
SORT1,ACC,Adrenal_Gland,87.16,74.47,12.69,1.52,11.17,enriched,1335.5,12.8984,True,good,0.2905,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TGFBR1,ACC,Adrenal_Gland,80.35,65.63,14.72,1.52,13.2,enriched,754.3,6.8964,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
TGFBR2,ACC,Adrenal_Gland,89.41,94.71,-5.29,1.52,-6.82,comparable,1642.34,81.4392,True,good,0.878,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
TNFRSF12A,ACC,Adrenal_Gland,92.97,86.08,6.89,1.52,5.37,comparable,2537.1,31.4342,True,good,0.2206,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
TNFRSF1A,ACC,Adrenal_Gland,94.71,96.52,-1.81,1.52,-3.34,comparable,3299.71,108.548,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
TNFRSF1B,ACC,Adrenal_Gland,75.42,78.25,-2.83,1.52,-4.35,comparable,464.44,16.5116,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
TYRO3,ACC,Adrenal_Gland,73.1,58.16,14.94,1.52,13.42,enriched,377.83,3.8876,True,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ACKR1,BLCA,Bladder,54.39,93.91,-39.52,1.45,-40.97,depleted,91.73,104.55,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ACVR1,BLCA,Bladder,75.71,77.59,-1.89,1.45,-3.34,comparable,545.06,24.1051,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,816.33,-0.5819,-0.3629,-0.3627,0.011277731183785316,comparable,comparable (both methods agree),comparable
ACVR1B,BLCA,Bladder,81.8,71.57,10.22,1.45,8.77,comparable,966.89,16.3689,True,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,834.93,0.2115,0.4305,0.2405,0.09748753066913218,comparable,comparable (both methods agree),comparable
ACVR2A,BLCA,Bladder,70.78,69.04,1.74,1.45,0.29,comparable,379.57,13.277,True,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,497.11,-0.3883,-0.1693,-0.3403,0.017748663179657724,comparable,comparable (both methods agree),comparable
ACVR2B,BLCA,Bladder,68.67,50.54,18.13,1.45,16.68,enriched,310.25,3.2312,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,208.48,0.5713,0.7903,0.411,0.0038494089216589127,enriched,enriched (both methods agree),enriched
AGTR1,BLCA,Bladder,32.92,70.56,-37.64,1.45,-39.09,depleted,7.58,15.3631,False,good,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,165.62,-4.2799,-4.0609,-0.8805,2.945539301594327e-10,depleted,depleted (both methods agree),depleted
AXL,BLCA,Bladder,75.05,90.07,-15.01,1.45,-16.46,depleted,526.0,62.2248,True,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,2081.08,-1.9822,-1.7632,-0.6287,7.732722365458586e-06,depleted,depleted (both methods agree),depleted
BMPR1A,BLCA,Bladder,71.14,68.24,2.9,1.45,1.45,comparable,392.58,12.6702,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,547.79,-0.4796,-0.2606,-0.4894,0.0005379029794508099,comparable,comparable (both methods agree),comparable
BMPR1B,BLCA,Bladder,35.32,26.03,9.28,1.45,7.83,comparable,10.42,0.3027,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,10.85,-0.0537,0.1653,0.015,0.9237097520708206,comparable,comparable (both methods agree),comparable
BMPR2,BLCA,Bladder,87.6,76.07,11.53,1.45,10.08,enriched,1599.48,22.0124,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,2448.96,-0.6143,-0.3953,-0.479,0.0007103536294462226,comparable,enriched/comparable (partial),enriched
CCR1,BLCA,Bladder,56.78,51.63,5.15,1.45,3.7,comparable,112.18,3.6814,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,101.79,0.1389,0.3579,0.0101,0.9463757471815241,comparable,comparable (both methods agree),comparable
CCR5,BLCA,Bladder,50.54,39.3,11.24,1.45,9.79,comparable,56.96,1.3659,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,128.94,-1.1648,-0.9458,-0.1987,0.17473653892477534,comparable,comparable (both methods agree),comparable
CD4,BLCA,Bladder,74.55,64.54,10.01,1.45,8.56,comparable,506.83,9.864,True,good,0.4296,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,1100.87,-1.1175,-0.8985,-0.4164,0.0034059467472352047,depleted,comparable/depleted (partial),comparable
CD44,BLCA,Bladder,96.08,91.73,4.35,1.45,2.9,comparable,5636.45,74.5219,True,good,0.2753,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,19.0,8913.73,-0.6611,-0.4421,-0.2853,0.04809126841598425,comparable,comparable (both methods agree),comparable
CX3CR1,BLCA,Bladder,34.88,31.83,3.05,1.45,1.6,comparable,10.01,0.6125,False,good,0.9787,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,19.0,40.88,-1.9271,-1.7081,-0.5057,0.0003478421874243342,depleted,comparable/depleted (partial),comparable
