gene,matched_family,matched_pattern,hpa_supports_extracellular,hpa_protein_class,hpa_secretome_location,excluded,reason
EFEMP2,fibulin,^(FBLN\d+|EFEMP\d+)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibulin + HPA extracellular support
ELN,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
EMID1,collagen_like_other,^(EMID\d+|MULTIMERIN\d*|MMRN\d+|VWA\d+)$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted in other tissues,True,structural ECM family collagen_like_other + HPA extracellular support
EMILIN1,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
EMILIN2,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
EMILIN3,elastin,^(ELN|MFAP\d+|EMILIN\d+)$,True,Predicted secreted proteins,Secreted to extracellular matrix,True,structural ECM family elastin + HPA extracellular support
EPYC,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,"Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
FBLN1,fibulin,^(FBLN\d+|EFEMP\d+)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibulin + HPA extracellular support
FBLN2,fibulin,^(FBLN\d+|EFEMP\d+)$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibulin + HPA extracellular support
FBLN5,fibulin,^(FBLN\d+|EFEMP\d+)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibulin + HPA extracellular support
FBLN7,fibulin,^(FBLN\d+|EFEMP\d+)$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibulin + HPA extracellular support
FBN1,fibrillin,^FBN\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Secreted to blood,True,structural ECM family fibrillin + HPA extracellular support
FBN2,fibrillin,^FBN\d+$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Secreted to blood,True,structural ECM family fibrillin + HPA extracellular support
FBN3,fibrillin,^FBN\d+$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family fibrillin + HPA extracellular support
FMOD,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
FN1,fibronectin,^FN1$,True,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,True,structural ECM family fibronectin + HPA extracellular support
HSPG2,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
LAMA1,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMA2,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMA3,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMA4,laminin,^LAM[ABCG]\d+$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
LAMA5,laminin,^LAM[ABCG]\d+$,True,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family laminin + HPA extracellular support
