gene,verdict,reason,n_pairs,median_paired_diff,p_value,batch_handling,n_tumor,n_normal,frac_tumor,frac_normal,n_dropped_no_shared_plex,n_aliquots_dropped_single_arm_plex,tumor_type,pdc_study_id,blind,in_matrix,miss_tumor,miss_normal,miss_fisher_p,genomewide_percentile,in_panel,fdr,reason_if_untestable
PTPRZ1,TESTABLE,passes pre-spec 2.1,64,0.04769999999999999,0.5926495971646389,batch_free,109,70,1.0,1.0,3,0,HNSC,PDC000221,True,True,0.0,0.0,1.0,54.31440225917791,True,0.5926495971646389,
NPR2,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,HNSC,PDC000221,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,HNSC,PDC000221,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
PTN,TESTABLE,passes pre-spec 2.1,64,-2.1612,8.614121606027472e-12,batch_free,109,70,1.0,1.0,3,0,HNSC,PDC000221,True,True,0.0,0.0,1.0,0.3451521807342328,False,3.0149425621096154e-11,
SDC1,TESTABLE,passes pre-spec 2.1,0,1.0306,0.00011050625575852807,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.0001547087580619393,
SDC2,TESTABLE,passes pre-spec 2.1,0,0.34158,0.05574356995715053,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.1300683299000179,
SDC3,TESTABLE,passes pre-spec 2.1,0,0.15486,0.9039747211325873,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.9039747211325873,
SDC4,TESTABLE,passes pre-spec 2.1,0,-0.48077499999999995,0.0013210322371046746,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.003082408553244241,
NCL,TESTABLE,passes pre-spec 2.1,0,0.77514,2.409277994177106e-07,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,5.621648653079914e-07,
ITGAV,TESTABLE,passes pre-spec 2.1,0,0.258135,0.006356452935719619,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.008899034110007467,
PTPRZ1,TESTABLE,passes pre-spec 2.1,0,-0.083905,0.5387535607199471,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.5926495971646389,
NPR2,TESTABLE,passes pre-spec 2.1,0,-0.32449,0.0051461216508172725,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,True,0.0051461216508172725,
NPR3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,GBM,PDC000204,True,False,,,,,True,,gene absent from study quantDataMatrix gene index
PTN,TESTABLE,passes pre-spec 2.1,0,0.57704,0.020603383744504572,batch_corrected,100,10,1.0,1.0,0,10,GBM,PDC000204,True,True,0.0,0.0,1.0,,False,0.0288447372423064,
